hit_sum,gti,unique_id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,CDRscale,CDRscaleE,chr,DR_ts,DS_neta,e,emp_tx_p,fadult,fchild,felderly,n,nelderly,omega,padult,pchild,pelderly,radult,rchild,relderly,uiscaleA,uiscaleC,uiscaleE,vadult,vchild,velderly,x,xi_init
26,343,8862a993b9ccc36f6dee2bb2dd1150c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.934549886240406,0.143603054078137,0.158400607693477,0.807074438736307,0.379666467518546,0.675868667356671,0.0506444610957989,0.742035627602599,0.0352861647186796,0.696896260202153,0.211632106350501,0.200914378636213,0.00843836785916208,0.153012586554326,0.0204058552526409,0.274015532583929,0.0173801107421519,0.0369853608870885,0.0194655803128062,-0.98086997997316,-0.943422265745785,-0.957936726168172,0.000140910214620224,0.000153692954006027,0.00339946067434602,0.324535794093087,0.0113217338423156
26,351,5d69304dd9d7e82020677784f498c61d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9264291610302,0.264583709366927,0.147407903063579,0.79759978663409,0.390561643438414,0.65055759350583,0.0692122925794685,0.74227005212102,0.0572082315164148,0.627574341903848,0.205139317884109,0.182860452436306,0.00738093835603415,0.154913053570129,0.0220004144005949,0.26295706020724,0.0143939923034051,0.0343386799878447,0.020545709934636,-0.977285412313597,-0.933822873775216,-0.944450336013885,0.000118436857183046,0.000173922616214844,0.00346602615017171,0.317068683822825,0.0114469837204372
26,314,b61b428870aa69c364ce368747010112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.921315138849892,0.305774049119772,0.148641545933208,0.791971810313406,0.392975953840651,0.667415094502271,0.0491573306662033,0.743348918743431,0.0371579602689012,0.684665476818232,0.215874917570268,0.191307610915205,0.00736370381576908,0.155341242420859,0.0235398943554616,0.262969394655153,0.0147559399875814,0.0365946667772724,0.0163192506487398,-0.981204444379837,-0.962579065167617,-0.949114647842005,0.000109860014356255,0.000168346739801931,0.00407317406324257,0.307219378307834,0.0119992828573571
26,143,6d8a72a81454a659dd3f5f60576d0b48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.920290791283646,0.275654132097736,0.138930190068207,0.770023184732998,0.39086549797561,0.690687253035606,0.0782215854804965,0.737465195036493,0.045292682240833,0.68089794810511,0.225832399416598,0.175531924342433,0.0088043946911019,0.165186959906109,0.0237150758365176,0.27514724836573,0.0142599906715566,0.0373832474455709,0.01742660977332,-0.984013302291826,-0.958662216506351,-0.96645035542734,0.000126766036286067,0.000160925190775077,0.00278507213730813,0.305941676015034,0.0116634488794049
26,633,8729a93f2081866ca6cb92ddbf1d000c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.925827476728387,0.251302688381346,0.14099749036832,0.79090562350815,0.359738670107909,0.697058818168939,0.0485846394463444,0.732349110725336,0.0469823448972306,0.639505820331571,0.221858697004849,0.196743757261591,0.00800913225804423,0.168729110837914,0.0212036124616867,0.249614483102597,0.0167280268061908,0.0384707898137166,0.0181917050493797,-0.988178421230003,-0.964582583012965,-0.969234231668982,0.000117006946166559,0.000151363025431874,0.00376633473338053,0.299682207785919,0.0119763248215527
26,413,8fc44752b87bcd9200976ce3a7f79ae6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937782264637459,0.243794205031861,0.160434326978868,0.77086585518671,0.380649516680278,0.694738600632177,0.0313832760998051,0.744159634697716,0.0326746678291815,0.667299544676242,0.211584117958554,0.189666649823239,0.00721063801278794,0.157113621768914,0.0187004989089916,0.261809946232661,0.0163341216996314,0.0396632102486684,0.0165017897494985,-0.986811676220245,-0.951121877741993,-0.951746479321943,0.000128882708258509,0.000162393344331886,0.0038535709150816,0.30612192053236,0.011396675584666
26,281,4af2112c174674dd20f9503dfe0799e2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93616993221305,0.316333942594472,0.166589157234414,0.773571821602525,0.381288869814016,0.680218127280475,0.0175556795927699,0.717608601341489,0.0493453019347503,0.613689425497351,0.21111299622571,0.167567137046414,0.00725911467158669,0.158426886571757,0.0216314823534345,0.272043173340149,0.0173112550300548,0.0369260041771463,0.019657862131848,-0.985118268599654,-0.959925401861567,-0.962785767300336,0.000114330101883552,0.000150229563305507,0.00303876011461771,0.324489440985396,0.0118628426794666
26,20,f808244488c48cbd7cc8c807e7040dac,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937000938290019,0.213763075442389,0.146676550332925,0.732871432134414,0.372291662022471,0.688258363239468,0.139634691765532,0.743661804310978,0.0331954199922033,0.618995164900495,0.210097350345808,0.191348738282149,0.00994126238577969,0.177788927952945,0.0227274316893897,0.294636106788925,0.0128965245406145,0.0427217987489427,0.0192874090135478,-0.97630252993622,-0.945478420606472,-0.963099358481617,0.00014289176895288,0.000171684681025687,0.00314211534600501,0.300846044036374,0.0117782710166955
26,484,629435acba8977b2ca6f5e37247b0c71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.910178751304882,0.118410024266224,0.167692546991168,0.800164790099951,0.405567700322718,0.673322854967789,0.0209172102459709,0.742663373851682,0.0353563612326975,0.654730316463334,0.224462570970412,0.187780559077555,0.00702631939438605,0.153774234818108,0.0219409086792736,0.263142544511891,0.015330919501465,0.0359406254732987,0.0183427650097674,-0.980543043966854,-0.952854340740416,-0.962455121638031,0.000115683160150937,0.000164558375559169,0.00306371397049079,0.308850826467201,0.0118769000938307
26,5,058849e363085ccb75047098f7a6eac9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.934168209041256,0.334380915488786,0.130501353021247,0.74997137631988,0.401344982131849,0.646897785703652,0.226543121095747,0.727825217690551,0.059862270157551,0.675608120986482,0.208279386052628,0.191441172742796,0.00852753025300072,0.165872490594816,0.0217740427860997,0.262246154950839,0.0114498805225829,0.0398458241784486,0.0182378547030883,-0.987829882269183,-0.974239368372943,-0.942624773005452,0.000114848729895476,0.000141965809508581,0.00341553029373364,0.297811690373347,0.0119414450703379
26,249,d85472aa4594c7ea070f82c602639020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.952239361059727,0.218322373237666,0.145655889220072,0.725792796553577,0.355188620933332,0.66614943403192,0.0788127834466287,0.738989293742924,0.0386390364754475,0.617916654265892,0.200508172836853,0.193195513469329,0.00885761651043283,0.172256060000322,0.0240517319894867,0.24045140514411,0.0155260339880364,0.031773669960071,0.0169330567519097,-0.983667897121343,-0.94636024694239,-0.977006621715921,0.000125303410479381,0.000166063816490005,0.00415352295233408,0.308400936256721,0.0115558963489025
26,387,3d75ace1d34c14b3ce50178ebef41307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.924623767722515,0.181597165665077,0.140295608278832,0.77961582958931,0.401411484396085,0.690185306988657,0.078182640669402,0.749225815176032,0.0363298621892459,0.674686957446334,0.220846481236163,0.190147163277421,0.00722282544353479,0.157520972462929,0.0228305122726603,0.25067301165983,0.0137393989128062,0.0382512309725402,0.019554968931145,-0.982158011101124,-0.932307349788698,-0.946018522024659,0.000125355318050413,0.000160140005164201,0.00326475058813818,0.307667289223149,0.0118619150085612
26,187,7dec276f1646ecf4b1f4bbbc06abda7e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947934119774811,0.322615479114018,0.15564226197079,0.706993277717845,0.394148282711394,0.742119608614595,0.0128239831421526,0.740364949286449,0.0693267630790355,0.712643081731384,0.20080036496825,0.199577831168705,0.00724458282520498,0.166349908883032,0.016985224090168,0.23873928875001,0.014814528996358,0.0418568322515587,0.0230630098873665,-0.974370587303879,-0.898998582184708,-0.968849511071659,0.000122679194344256,0.000161482929101102,0.00260567009118345,0.313713519619778,0.0107029175661462
26,77,2adb534d6f43858478eea5845bb48da1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.946869146441949,0.235442736645913,0.157378291420175,0.717037704901302,0.366760840143543,0.672314935108647,0.041905452620704,0.739960243889363,0.0416427860775725,0.614856698820961,0.204204043992911,0.191079303883295,0.0073881869773191,0.168135216290783,0.018205773487455,0.270866057729069,0.0157977057050916,0.0406305336027412,0.0203705355503513,-0.986787508400341,-0.966441955862652,-0.953078442050159,0.000127603012102239,0.000169959820319786,0.00324961820208311,0.314377049688995,0.0119855974702029
26,19,dfe7e93a0d87ab4daba51e96fffcb529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.940395009666532,0.292645365410903,0.149078300734984,0.794044716896021,0.362388942295219,0.697255454755389,0.0633969089272434,0.711874183609617,0.037552685254253,0.593159058715439,0.189450155759112,0.167765641616703,0.00773023642783488,0.165456893898453,0.0215364223757067,0.271589800207689,0.0161163663421294,0.0430346086049458,0.0185582338913725,-0.974078513146176,-0.941003246485486,-0.945900160552395,0.000128533386044718,0.000183960314780827,0.00363889366008974,0.297266697543859,0.0113133050423958
26,297,a4739897de3c18eb25c88cb21822c190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.936543949812702,0.143095266098901,0.138706514781809,0.758296477945986,0.384473465615883,0.643654374415056,0.150785570882727,0.744313197277951,0.0329479790471955,0.678014424104093,0.212442500847624,0.194698403153498,0.00746459382031547,0.165711440800875,0.0183269559899351,0.245449556404352,0.0147719923910687,0.0365421788400045,0.0157373788101515,-0.979330157032744,-0.921699169649987,-0.946888880692946,0.000124653878355912,0.000176337646422329,0.00389857158713281,0.317010319261625,0.0119787914980161
