hit_sum,gti,unique_id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,CDRscale,CDRscaleE,chr,DR_ts,DS_neta,e,emp_tx_p,fadult,fchild,felderly,n,nelderly,omega,padult,pchild,pelderly,radult,rchild,relderly,uiscaleA,uiscaleC,uiscaleE,vadult,vchild,velderly,x,xi_init
26,55,abc908ab198666f065f345ffa8c846ab,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.953909061976276,0.0855888052869811,0.137585679723417,0.699453903001266,0.38119045638945,0.746096951543356,0.092345923867543,0.74148278460838,0.117578311018995,0.502661680641246,0.194783800213247,0.175931231661163,0.00710247530883575,0.181264165159036,0.0162271235807571,0.289208163186814,0.0104359838037291,0.0414476859577468,0.0296839054557876,-0.973242864802975,-0.91603520412339,-0.947468377549849,0.000104771926616714,0.000171218676837979,0.00205736542800857,0.317164863481,0.009825802941788
26,131,ac38f6cc8cf086506ca20761e51adabc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.919011334097181,0.298401207859818,0.146148503441365,0.765658269533885,0.392660665232688,0.68178524940461,0.0855173360859045,0.740173831628635,0.0480689691372675,0.683894380656106,0.213560578512492,0.180783872188115,0.00805148839369193,0.167265902232658,0.0196302421626172,0.276030430329219,0.0133993216791655,0.0381769365864351,0.0205247241586362,-0.972777806107284,-0.953943094538741,-0.965592342590426,0.000133956979659447,0.000154882391894245,0.0022918194729669,0.311358667498828,0.0114716339590381
26,13,f48d8b94b3972ba43bb68cb884a834c2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937755885910215,0.448100238114036,0.148125157151374,0.796468471495898,0.362943299761973,0.733998995274306,0.141239163940772,0.738945710079278,0.0506353947948664,0.570960517478769,0.19046194018179,0.186029927531769,0.00826142818393622,0.160123035608139,0.0170455229777151,0.265373952325525,0.0141958280595489,0.0456006275477362,0.0143534699225719,-0.976376482438434,-0.896495343950142,-0.966617526410936,0.000150659673560203,0.000107890391031066,0.00519333802959936,0.342661313212291,0.0110419529636719
26,28,e4715ecd94692d9d9f4826ff7f8fd7fb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937495292042937,0.219445158570875,0.150552880542821,0.758757693108636,0.370975566613488,0.616527378106491,0.0496711159939883,0.740216993130743,0.0330109055468341,0.724119389192608,0.217430781164672,0.197944870039982,0.00831950495794373,0.168137572136149,0.0221204872610989,0.25068848886732,0.0164097746683287,0.0517946784209463,0.0188352347150364,-0.985413720914954,-0.974165995243967,-0.950220262590667,0.000117560946433088,0.000160117776177788,0.0034462887739947,0.280348827904835,0.0117565390972331
26,36,1ae9b137b133a1001ee7b518ec7b8049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.952108448376875,0.385756612884099,0.129933460729665,0.678708724908063,0.439869990628211,0.631250658753329,0.102958414899185,0.748685972912936,0.035214005518821,0.664328123441187,0.21785759781173,0.173539841561043,0.00710269885811461,0.160420795219857,0.0183796053014233,0.25270300214002,0.0149830969537141,0.036550881578681,0.0212498663033739,-0.981245257797067,-0.946731064973046,-0.967140635194091,0.000120175989852623,0.000190458417520313,0.00198585061054831,0.29545866415538,0.0113496245124029
26,123,107b53974786d4eb9d4d1436677eef97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937682959048056,0.387772176128179,0.130033970803491,0.780969373935366,0.380703115118668,0.691599380400033,0.19829798916122,0.739311475493013,0.0415323140274268,0.619034275353176,0.204536972317611,0.181606391772791,0.0081622109721367,0.166460479511134,0.0222187787422449,0.225170011998899,0.0118878037150023,0.0401138895013377,0.0145493112170984,-0.987850240132261,-0.9381458597426,-0.961217164395197,0.000100576774446799,0.00018994052281018,0.00470953309037028,0.290485450109467,0.0105328592795973
26,152,ea5e9c3e0ccbb7afebf0d1a86d537e04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.934738133046744,0.302674160493175,0.120216173927768,0.777495547824073,0.41639693313744,0.749750998299571,0.180254662528168,0.725042629195376,0.0582205163484897,0.637514263028128,0.199586452412884,0.18799683669086,0.00719492795184714,0.153837271341681,0.0173759826463649,0.260588897076435,0.011979289537762,0.0330143563922505,0.0240527239289055,-0.985790084207727,-0.917329664682888,-0.964168017838542,0.000115950285840554,0.000170669931637205,0.00261698444485019,0.286472915562615,0.011093617193141
26,82,1e35ab36d7465d4a33a53afc9ab4bf71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.937471348191469,0.102274103724779,0.141874538019767,0.751970707781146,0.408813222865574,0.697794916668907,0.0578050302364871,0.737927488479763,0.0457369464060755,0.534177031462488,0.202486502629239,0.186089738328172,0.00733747446899764,0.156292885006591,0.0171342350365598,0.271933588942885,0.0118233148006729,0.0399453458014884,0.0334458737586542,-0.983973459649479,-0.963229522807149,-0.965068273001528,0.000130920256052913,0.000199696408947149,0.00147430231348761,0.309596743723377,0.0111802713257779
26,42,6a84db917e03b30150d889714fa101b9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.935870591657801,0.282161782701127,0.130471844745336,0.723140060061122,0.403446873952635,0.69097227646038,0.231540446926375,0.746821655945387,0.0451088957993778,0.677675334971619,0.212819491342874,0.188251428353762,0.00703178320583879,0.173183086136728,0.0225146687442905,0.281841602631844,0.0109857255531481,0.0399085034025842,0.0195922688892024,-0.980382377157775,-0.972848366690918,-0.960189385522755,0.000108017083060421,0.000168909767631672,0.00278461502465681,0.28325310816355,0.0115755798057242
26,197,2aeec866f59263e47dc85c6549c4a644,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.936265341621614,0.282657056020195,0.140328551291024,0.734884603021199,0.351426461806987,0.672491710613483,0.0936954482528387,0.732488487445516,0.0295599062842079,0.645927993785066,0.21448149552755,0.190269076113053,0.00948614194938198,0.186006057925429,0.019904048945173,0.231722209558728,0.0135221921672112,0.0275492883360485,0.0201499456085182,-0.980271456871007,-0.949505162337434,-0.966583181278376,0.000106080064589785,0.000175350032791846,0.0036059769121036,0.310792276700959,0.0116346455220698
