unique_id,CDRscale,CDRscaleE,chr,DR_ts,DS_neta,e,emp_tx_p,fadult,fchild,felderly,n,nelderly,omega,padult,pchild,pelderly,radult,rchild,relderly,uiscaleA,uiscaleC,uiscaleE,vadult,vchild,velderly,x,xi_init
701c967de7faf91ec14ca973a128424f,0.929882996837754,0.197984198935702,0.144063896003647,0.796000490572768,0.37736276939977,0.667248160602526,0.084700205314439,0.743508213160093,0.040119651176501,0.673344331467373,0.219597774582449,0.189970872694789,0.007047003368628,0.161584684181958,0.022969976450317,0.259854311713762,0.014986986800377,0.033118606746011,0.015864080907675,-0.984133735945442,-0.946289800749861,-0.958836907709298,0.000121179059988,0.000156190249018,0.004238144675128,0.306847647403553,0.011527557581161
c20ed29541e825716913b41a6eaf7744,0.936782411714305,0.171677876749299,0.172605154037012,0.759470365734304,0.391565846260637,0.672552635828034,0.031925625230652,0.740146796724293,0.050893448996823,0.65571405067764,0.219704345098696,0.189371291234786,0.007555381026365,0.154948723736405,0.022856574456674,0.267583930937759,0.01701217906531,0.03585786711108,0.017982551005195,-0.987454277240627,-0.941576664500891,-0.955213658326335,0.00012622995116,0.000170581366517,0.003453645172293,0.311194113282486,0.011919219334759
3be735c932851119477b21696982b3f1,0.932586388811912,0.207605182272764,0.136764034091031,0.766137590419965,0.385897410684265,0.664638611581177,0.060006540429313,0.746882626526057,0.038815403959248,0.649108674459008,0.21923638023925,0.18657271890405,0.0075017934262,0.160525619118474,0.022681460202905,0.250434055481664,0.016722325343173,0.036347124676314,0.018032315932858,-0.983809188411648,-0.928855294415058,-0.942474183161679,0.000115962822035,0.000171993266679,0.003429337917426,0.303783517948165,0.011831889218479
eacac37a6d7bf7a2d88192413954349b,0.92777554529267,0.388217335811149,0.136948713471649,0.713332452813627,0.397013507937081,0.695356267354453,0.104889998550062,0.733330199387856,0.089360370715032,0.597899893449468,0.230941649144165,0.158573844670713,0.007589153319387,0.182271336868126,0.017395946209203,0.278891177785303,0.012113530041697,0.047502642030502,0.021934569869508,-0.980611045719191,-0.950309282907696,-0.97870681771299,0.000111319393014,0.000143618768894,0.001883755868962,0.326052130151167,0.011087507847799
69dcc6b4024f759eaa4c534100e18942,0.966406585225445,0.496541791334655,0.110023402427326,0.663291874998248,0.424294320060872,0.691153218381109,0.233200834980236,0.735931027339537,0.052841410753782,0.617870164326054,0.188459934539161,0.173108071441808,0.008196633095734,0.155632952131052,0.020131723059808,0.302278658330347,0.014732998494525,0.038511976753781,0.020457559033242,-0.989719958639598,-0.955228317020202,-0.959917108276631,0.000114818389573,0.000192289399235,0.002296624203917,0.326193921856583,0.011800689772899
3d9bf21d4d7f409b2e8147ea332b3241,0.932034210842612,0.300342219057558,0.14968607252231,0.788966330273541,0.393987896661274,0.664326897047461,0.024910960027483,0.723833566256798,0.045860288240946,0.643495811717806,0.21015246298979,0.197454617558908,0.007478544700839,0.151900358892791,0.025096798064886,0.260072337361611,0.015378737839125,0.037045184919146,0.020517375335368,-0.988372652498952,-0.950169938693682,-0.979061180909091,0.000118906731182,0.000145671686412,0.003372352419451,0.318901992909237,0.011778714306029
e7e259dab51dae916999f57de4a95b64,0.955727688694629,0.130464266613345,0.132554803942332,0.768269388671031,0.373614100937265,0.675337910525502,0.154798426281196,0.732160181414801,0.070171865519718,0.570234552079846,0.186063322685541,0.185847471452365,0.008217736379013,0.157371023163665,0.024010486529326,0.268661384303867,0.015377164798277,0.037684399635532,0.018028433679362,-0.988746923741872,-0.934967456300721,-0.953214999286483,0.000132825212802,0.000127322986155,0.003719671754752,0.284919418250398,0.011262123754928
3be1592014a1805df506ba23b5f767d4,0.929874380768137,0.253741555841043,0.132761321682485,0.796415950283406,0.33812388699036,0.72445426892303,0.09879180578515,0.746193468492709,0.044560007433174,0.618847786870261,0.199327715929597,0.173366415304177,0.008345093903737,0.172969682695065,0.019964222681011,0.227950015132594,0.013695555873914,0.041468213502644,0.018767715696889,-0.981849574226904,-0.958645601318862,-0.940981447415566,0.000122934280312,0.000181877801948,0.003872072474988,0.336598603633046,0.010967562248977
a4258e5a8fa40bda7489df89d23472c8,0.937782264637459,0.243794205031861,0.160434326978868,0.77086585518671,0.380649516680278,0.694738600632177,0.031383276099805,0.744159634697716,0.032674667829182,0.667299544676242,0.211584117958554,0.189666649823239,0.007210638012788,0.157113621768914,0.018700498908992,0.261809946232661,0.016334121699631,0.039663210248668,0.016501789749499,-0.986811676220245,-0.951121877741993,-0.951746479321943,0.000128882708259,0.000162393344332,0.003853570915082,0.30612192053236,0.011396675584666
e0c69bd88f96625a009cb535724326e7,0.935504115460739,0.37074942633702,0.157095055240209,0.74989064394729,0.367516395512502,0.668623391792179,0.116517888815142,0.715200967699056,0.055009399340255,0.586730959403736,0.206419557131827,0.174555069215757,0.007102365262862,0.177510031009093,0.020146363723791,0.262389060817007,0.014179047577689,0.043063365238067,0.015583298015493,-0.98146190457308,-0.95323315732606,-0.967147697096291,0.000123602972801,0.000143715380767,0.004028332630285,0.314350192318111,0.011173040009032
c24fb980e7ac88443571982bfd15a07e,0.937077599235601,0.278500609798506,0.140803700608669,0.763510122802106,0.362746901416685,0.654775562814438,0.135849110400304,0.746940166554414,0.0450770673902,0.638046090112475,0.21373180481838,0.182491463582775,0.00713956575345,0.171047615638002,0.018899784607115,0.274749802599008,0.014826622841973,0.037026188919089,0.022303054781576,-0.988506953303892,-0.905097637886053,-0.945431523878981,0.000112051948835,0.000153009683865,0.00292800406312,0.32666097756289,0.011534202881044
a26fd6da459b852890833c5bd1d0d321,0.947164604423331,0.229254672688292,0.155804612126669,0.758857553584965,0.386626873323694,0.66649101654254,0.064563577964436,0.73781799507793,0.037245794902788,0.64586978162214,0.199678534542675,0.185648805040097,0.007400593996052,0.152032242451794,0.023050298575778,0.264446311884932,0.015889122284111,0.035249490703922,0.020385804143074,-0.985631467232001,-0.958094105679898,-0.95306699457667,0.000120623126006,0.000168315351582,0.003394415275261,0.328545212551578,0.011485615760191
