para_hash,CDRscale,CDRscaleE,chr,DR_ts,DS_neta,e,emp_tx_p,fadult,fchild,felderly,n,nelderly,omega,padult,pchild,pelderly,radult,rchild,relderly,uiscaleA,uiscaleC,uiscaleE,vadult,vchild,velderly,x,xi_init
5f616526a3b259caa4ba607a2627bee1,0.960224971767713,0.539954207871464,0.145722558959387,0.670176312685944,0.362070658998564,0.732996141367795,0.040248305632267,0.739441935925534,0.134804085491833,0.660428744537702,0.190495052367053,0.166600626069262,0.015210436927778,0.163010194928711,0.01917949108828,0.259217521511469,0.01869542042612,0.037525645894241,0.023254767963878,-0.98410714466217,-0.930649963935409,-0.943935168993003,0.000258209421977,0.000211529732204,0.002149697527609,0.379501454871651,0.011039160978739
0b666f0d9ed994749f38ff45f75ad482,0.958860458822393,0.580315614226452,0.14577350364998,0.659665277535096,0.369799105296843,0.738505156404542,0.033655165859964,0.731083356121345,0.133358809854978,0.659486053803881,0.195194286445459,0.169695824152698,0.01532672383653,0.162868866693181,0.019058803364655,0.259333374918516,0.01906597247728,0.038751660640594,0.02379664223644,-0.984434242668199,-0.944399006173154,-0.976234292813144,0.000257586216849,0.000211923751045,0.001714778770039,0.377655268069114,0.011222820889318
13bf15f912e0a6b570e42fe7723b8b9c,0.959641514853959,0.560108755476057,0.145194805050269,0.669355742838233,0.376279292576946,0.72779545871468,0.038540725887287,0.742468270522332,0.13330802482148,0.659224692984243,0.192288328743377,0.167740062226682,0.014992904021828,0.162849674656195,0.019701560324777,0.262126330855008,0.018308151110531,0.037522711758744,0.022534309327538,-0.975454968738975,-0.921114524333458,-0.963491542001399,0.000258679204511,0.000207819907726,0.002131518596171,0.378445178933199,0.011099975292395
a0d094669f363f02b8ae5e41e59b0507,0.958276834373086,0.613759730721126,0.13612357147038,0.680754361264407,0.345457248026505,0.729748285140114,0.018981790102552,0.73624105465624,0.13470768252658,0.663083283139338,0.193008498446155,0.16929048963301,0.015216720084953,0.164629905122844,0.018086922255598,0.258903400444876,0.019160383371626,0.038308808936049,0.022674602595839,-0.988672497694921,-0.923344794771559,-0.960447635090868,0.000258514335395,0.000207281832602,0.002750230082901,0.379352995130178,0.01107257825968
9f9706c2fddadb9e8193eb356ea19e66,0.960220919932419,0.579176668285617,0.146173769598827,0.658903755079955,0.365880603557453,0.728324504864605,0.03312394231325,0.741306548922112,0.133337495624463,0.659014387079274,0.191464007723215,0.165899928934315,0.01520177820879,0.164074492754554,0.019248677518006,0.261799135990146,0.018800495233097,0.039390191022084,0.023565435875516,-0.983237779214457,-0.956125201175576,-0.959963241734537,0.000264152446907,0.000205891482084,0.001825950938321,0.377176915964242,0.01101102160738
0bb1e2571ce4b0ae3842aacc888e69b4,0.955762623197132,0.504769983948898,0.151976528959349,0.670886128772981,0.380674395719543,0.728916961468028,0.026965218877885,0.736000165853439,0.13218683572151,0.65097841221722,0.190811811040459,0.166943805389946,0.01496011512591,0.162487422741343,0.019147393220124,0.258859160930741,0.017594693570574,0.037366590857189,0.022724902158166,-0.972172944357684,-0.945792065131664,-0.958485970402886,0.000258431582307,0.00021363651837,0.001998095315292,0.378045772035923,0.011344657722936
a1b9f320b7a13de73aeab852e6b89cb3,0.9547948964234,0.553267837358509,0.142012110976502,0.681899040457792,0.363274451061152,0.736971725537645,0.012846553416457,0.734094610535795,0.136871714555801,0.667951091223156,0.19169284468873,0.163261890146324,0.014788224985213,0.161731197693524,0.019586109984686,0.264093721777465,0.01752997277229,0.037348949570917,0.024128874360054,-0.983715106760944,-0.929090056192447,-0.954543503465015,0.000251666168904,0.000211503050153,0.001904524712226,0.376448942034449,0.011181215695763
311c98fb20a7fa3b3ca5b4eabfb92642,0.954389107348773,0.540293506498049,0.144674537628889,0.682340076612308,0.365516216852702,0.735306094651313,0.025997587416787,0.745132143118209,0.129628253519212,0.662443774361854,0.193985907827574,0.169273927218655,0.01516031785306,0.162416029980545,0.019385488709455,0.261914500039521,0.017406573826064,0.038480769082029,0.023797570678062,-0.982051196357645,-0.947952826281227,-0.958404997038026,0.000260852064383,0.000210180826563,0.002130456050616,0.377669975524153,0.011151545037866
3e98b071747dbb355ceb20fd88dcc9cc,0.960269527023177,0.52710354046668,0.144868185417727,0.680689581944607,0.358800263307057,0.72481548978688,0.015184973112773,0.742904543786099,0.132083608687765,0.668642622545307,0.194966757333442,0.170051501604171,0.015095828794059,0.165247288932418,0.019089687680147,0.258223491006609,0.018392130812154,0.037035849310886,0.022645379930857,-0.974186463704305,-0.927518072947944,-0.954583682308891,0.000256775445807,0.000210671954885,0.003031201344035,0.378641897904631,0.011179681311316
af80bda4c601f307e148cbb785563d69,0.961797353080114,0.545581386602522,0.133595850686543,0.676516320328228,0.360781773221679,0.729576436271163,0.044112406841013,0.742215050545311,0.132664659042287,0.659610417073538,0.192096403948567,0.163952715809831,0.015415775443646,0.160764664792595,0.019104926516322,0.255685232659135,0.018703450879724,0.037045614760612,0.024370603191509,-0.984469866632838,-0.945949371469887,-0.942079511986417,0.000255315543624,0.000209444252831,0.002235908065451,0.377348539606985,0.011025391198603
