para_hash,CDRscale,CDRscaleE,chr,DR_ts,DS_neta,e,emp_tx_p,fadult,fchild,felderly,n,nelderly,omega,padult,pchild,pelderly,radult,rchild,relderly,uiscaleA,uiscaleC,uiscaleE,vadult,vchild,velderly,x,xi_init
f83b9b79dcd5f38cd44097d68cb6908e,0.932043245006796,0.218548649097942,0.160380049722737,0.754194116464349,0.393728743926622,0.630570058269428,0.056375041489956,0.732551339962519,0.047445721338735,0.688130893833783,0.21018465335993,0.200312499464651,0.008020302478233,0.167177388734743,0.023992650610862,0.252036591781861,0.014146717031114,0.049997764220834,0.01916729531306,-0.971809523885324,-0.952670849387061,-0.968257921500976,0.000120031208426,0.000140720635196,0.003225315343309,0.282313606357947,0.011579414582123
b5e52116fddef27a7b0ec23ce653d844,0.967494955939824,0.691660582149988,0.116679857389538,0.717651711169164,0.423026368487626,0.666205846806988,0.221794981833082,0.704819630894344,0.030048486078623,0.61034617477454,0.168845464464044,0.154714184463419,0.010858929427373,0.141147891630791,0.021082348519471,0.239557240530848,0.013605126762017,0.032125084884932,0.014578567243452,-0.989009398064774,-0.932700319155778,-0.959392673425434,0.00017940726608,0.000138136411908,0.004246825240118,0.331815225003287,0.010226953743446
23700cb13a3162870b5bbf6c0c5687ff,0.949708140945403,0.393455511935447,0.138004637274428,0.736029978482981,0.394806793995667,0.594819076481277,0.060932671907358,0.738936778018251,0.024781125629902,0.651665154642461,0.1939481317834,0.162713833013595,0.007738279568406,0.151765654878132,0.026761212373386,0.287027049450669,0.016874025346526,0.034581913847431,0.023559230508694,-0.978990378575479,-0.948335298429995,-0.950650597061228,0.000131758830042,0.000161722400946,0.002174289678993,0.320072882114724,0.011774898467807
5d1018628190061bed287cf790034f68,0.926578855539864,0.172475321808849,0.141436961686706,0.750164160185958,0.379775291313417,0.737694190980867,0.184719625723083,0.734400334381498,0.020848992501385,0.648966128869203,0.212887844524812,0.197586505288885,0.0072246517538,0.175020502170175,0.015460273768753,0.233902170230448,0.01086990763126,0.045117309182418,0.022249354103758,-0.988967395007424,-0.962625529102126,-0.951364015872405,0.000110032783398,0.000179867164881,0.002841023683149,0.324622379579022,0.011761812542864
19eca9838d64a8deb94185557aa99746,0.94289236971708,0.158027459403457,0.130708312347999,0.746880582424344,0.375704812745098,0.696197530902923,0.190655279702042,0.741308603085344,0.039573967070435,0.541777890967426,0.196980067763128,0.195391463779891,0.009026561709437,0.167783106990065,0.01736297458713,0.304404475799482,0.013832053173147,0.034303693120183,0.013842451744239,-0.97715060022145,-0.935664404186226,-0.971679039514006,0.000124888438112,0.000179681471785,0.004294987063673,0.333750445994735,0.011602035608213
ddaf31d77232c3bbcbc4a142d3f7cd7e,0.960282682662793,0.360592784820477,0.135627044811848,0.692818440874105,0.331960273480508,0.657989368216136,0.11817870097002,0.740471876914379,0.057471808587549,0.58399788142707,0.199610021528672,0.177707847839849,0.009030810674957,0.18840711857844,0.022331808965887,0.287133450514449,0.014311305613024,0.037082188343071,0.021374778865689,-0.986238682486512,-0.917101581016584,-0.95872853383361,0.000177530485725,0.000169130865869,0.003474767741724,0.328564888808876,0.011592867446628
567636f12551d182ea345d21d86bb6fa,0.919975352526765,0.20160342967973,0.15427249707049,0.827201371039263,0.367284497502259,0.678383607583121,0.060746741998009,0.724204369285144,0.046716697487281,0.625925310544891,0.207944878543494,0.195499500932916,0.007627518731138,0.163148335380666,0.022028311789968,0.26952765711788,0.015179141678289,0.038771743862611,0.017821136438791,-0.983160787518278,-0.921271293594099,-0.948847535234938,0.000106762886507,0.000156028470397,0.004144620882224,0.296303946145252,0.010903187221404
240ffa4559a566c1cbaf56206cc0ebad,0.950357639853965,0.381253105288501,0.125957468620037,0.684380623372269,0.41175954847131,0.648561680593527,0.165149160632863,0.731322256699205,0.042586124156252,0.647962087256123,0.210079895944683,0.19331743719864,0.008602366620325,0.171644688148517,0.017024955050787,0.253711497886199,0.013263140913006,0.040765066864901,0.017485083305315,-0.980626646073115,-0.901413126849231,-0.969679439397357,0.000105580929037,0.000180632168643,0.003306861462709,0.315692232643814,0.011674796478809
f512930cb590c4193a185b0f81916df3,0.95641355074042,0.418812325283401,0.133016965624414,0.676152865362818,0.407732733846642,0.612055835593493,0.114070335933939,0.740405343738384,0.030846385691897,0.724066806461139,0.2129757703793,0.177212877554981,0.008751718312036,0.170845212492906,0.020730835409836,0.2812968156524,0.014846747799311,0.038644330750453,0.015541190363039,-0.982448454496952,-0.962666087182781,-0.955929075599313,0.000119367095324,0.000161590852425,0.002791464995572,0.344667095771804,0.01081694724887
04b6d435d71278a872795bb61932d7cf,0.929164023995521,0.342784181714379,0.127793846928982,0.74079680364113,0.360972210613545,0.639592336159199,0.125343742205296,0.744577832687646,0.014693818118772,0.741770250861383,0.213153804422588,0.193098394064045,0.007046520974454,0.185246749113407,0.025596257694648,0.274068401871341,0.010956529330277,0.041287778157182,0.017595349977949,-0.981776479954792,-0.933129594282858,-0.940687569108275,0.000171212194137,0.000180244440333,0.0037502298189,0.275839455975221,0.011781383315118
48f18dfce62778e680ad10da6a550040,0.936485262835208,0.299029584170217,0.137237092426514,0.807303836618083,0.371657352345065,0.701038830624894,0.177644045592751,0.722312613888643,0.022951277336804,0.632352614054678,0.188955536597407,0.177640869754529,0.008629059899677,0.15928583521638,0.016473873904907,0.223729827631451,0.013616777882074,0.033101984237042,0.016406642453271,-0.980197796734939,-0.907477457995161,-0.953535627240098,0.000145395192694,0.000169631040254,0.003942824739487,0.33752597493939,0.011578503278476
5330d6b70b97f8c3362d982142ea7126,0.963417777280412,0.291431479990203,0.125310518301561,0.703183483823666,0.355547895943746,0.763033109923825,0.116362086071167,0.733657914437354,0.06981930908421,0.706471904821542,0.194530691606924,0.190189679891033,0.007358437281953,0.180148986987396,0.017663831030019,0.223690323978848,0.015813354820572,0.034435178813433,0.017408332867912,-0.98644125411759,-0.927636905886742,-0.971063275526946,0.000104066335401,0.000175263486046,0.003297426280041,0.285449455929919,0.011031718726746
