Name,low,high
CDRscale,-0.999,0.999
CDRscaleE,-0.999,0.999
chr,0,1
DR_ts,0,1
DS_neta,0,1
e,0.4,0.8
emp_tx_p,0,1
fadult,0.25,0.75
fchild,0,0.15
felderly,0.19,0.75
n,0.1,0.25
nelderly,0.1,0.25
omega,0.007,0.02
padult,0.08,0.2
pchild,0.01,0.06
pelderly,0.08,0.36
radult,0.01,0.07
rchild,0.01,0.07
relderly,0.01,0.07
uiscaleA,-0.999,0.999
uiscaleC,-0.999,0.999
uiscaleE,-0.999,0.999
vadult,0.0001,0.0003
vchild,0.0001,0.0003
velderly,0.0001,0.04
x,0.25,0.41
xi_init,0.003,0.012
