param,mlv,min,max,dist,sd,beta_p,alpha
vxdelivR,2.31694,1.5958,2.7977,rbeta,NA,0.6,5
vxdelivM,2.31694,1.5958,2.7977,rbeta,NA,0.6,5
ds_dx_cost,27.0489594421033,21.6287254301033,32.4691934541033,rnorm,2.76542551632654,,
dst_cost,13.2,11.78,14.62,rnorm,0.724489795918367,,
ds_tx_cost,28.4103275669698,27.1366075431571,29.6840475907826,rnorm,0.649857155006485,,
dr_r2_cost,746.842452427182,377.294158069669,861.725606143328,rbeta,NA,0.762849513232515,5
dr_r1_cost,346.287352427182,276.773871403003,413.841660688783,rbeta,NA,0.507146729267277,5
dr_sc_cost,509.529372713378,301.945936217817,715.153636446358,rbeta,NA,0.502370687624524,5
