Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99plus
1900,0.051176594922669,0.052228125459394,0.0536789069513579,0.0549004956096637,0.0557166682995317,0.00667129479094482,0.00679316838521117,0.00693569673264375,0.00709024389864439,0.00724406083109092,0.00595301143067462,0.00605843047011901,0.00609650755739393,0.00606129468333598,0.00599691098585266,0.00527404843842555,0.00527551267604188,0.00526148329047493,0.00521519093737341,0.00515223361535732,0.00603484867232614,0.00600799510126928,0.0060041636024333,0.00602016175883049,0.00604452814890691,0.00683158200948349,0.00682949740231643,0.00687148250594642,0.00697720884644189,0.00710423552817277,0.00773733279142821,0.00778961171070694,0.00776118412862206,0.00765290938884027,0.00752248539984465,0.00985300860844444,0.00980376566063344,0.00978020780086688,0.009762038638831,0.00974012419853053,0.0142644505055555,0.0142150839371792,0.0142611252575698,0.0144372039668982,0.0146611975600982,0.0186606395215853,0.0187989515231729,0.0187136931475269,0.018381344994169,0.0179769210787683,0.0223138158961552,0.0220590387069537,0.0221714874366583,0.0227388753240848,0.0234758914641932,0.0331726705402766,0.0336631060565567,0.0336389962840741,0.0330666289167753,0.0323242513766924,0.0533343458114169,0.0528996055640802,0.0530912440435491,0.05399055567393,0.0551201601950918,0.0786596240796574,0.0794479910919943,0.0790191359886421,0.0770902230323409,0.0744880039018026,0.112860155011911,0.10991420307896,0.109103148302856,0.111778961015413,0.11666411980479,0.166943761957521,0.170225031515314,0.170314630839225,0.166454496145219,0.160373099952692,0.243891661430418,0.243891633721138,0.243891689364511,0.243891634727131,0.24389159776399,0.203668578245622,0.203668548934535,0.203668504926848,0.203668521697693,0.203668731798095,0.194403585274509,0.194403127574682,0.194402912466107,0.194403093941011,0.194405253084683,0.216392209074454,0.216390233658873,0.216392299594631,0.216391751462934,0.21639066834199
1901,0.0545270648538165,0.0515279382747706,0.0527690892865253,0.0536493936434871,0.0540026931478504,0.00682258257376269,0.0068670292349247,0.00692253288115834,0.00699655872224084,0.00708800176628561,0.00595042206524688,0.00600665100306867,0.00606390421801157,0.00608590923598211,0.00605975317312929,0.00524387543496824,0.00523009337925416,0.00524575479993275,0.00524643121330572,0.00521540819637743,0.00604544339621056,0.00602120363946,0.00601152171011224,0.00601107720551495,0.00602002103414054,0.0069050102015839,0.00691525363263437,0.0068972259677814,0.0069092207865934,0.00697647659184489,0.00766177699427342,0.00770150798117867,0.00773019840467363,0.0077187484403392,0.0076522686036834,0.0098384631589759,0.0097862755508654,0.00977971809183394,0.00977608917424066,0.00976110231330675,0.0143770674272052,0.0143627667880876,0.0143111679878695,0.0143205532025851,0.0144385377468018,0.0184428246491632,0.0185287200185481,0.0186170508471384,0.0185914469879159,0.0183879800754467,0.0226785090858778,0.0225172845986287,0.0223527584601892,0.0223709134281401,0.0226998088807228,0.0328298501676203,0.0331535143468975,0.0334170284607035,0.0334432939140523,0.03309981580551,0.053881307948333,0.0535309583470808,0.0533252542630116,0.0534190348893166,0.0539937409019971,0.0773691175953223,0.077911067745156,0.0784494965003196,0.0784058635537943,0.0773112354268556,0.113775243025797,0.11222651362391,0.110516031369092,0.109864635946636,0.111802795781289,0.164258517663499,0.167294974890031,0.168912882408474,0.169471611689347,0.168230288241487,0.243891643428512,0.243891641119988,0.243891622935208,0.243891671327822,0.243891678201848,0.203668553526448,0.203668605198089,0.203668448683235,0.203668660650669,0.203668585622981,0.194403500525411,0.194403500153919,0.194403867870885,0.194403030516182,0.1944021018994,0.216391445824919,0.216389195751659,0.216394846703918,0.216389514723576,0.216392898064669
1902,0.0546789812351399,0.0551594932038113,0.0513857431017058,0.0521051702467853,0.0521922441569132,0.00695802482996549,0.00694290516281477,0.00692932340425342,0.00691370728272711,0.00691609535601424,0.00599034157273002,0.00600683956830603,0.00601869086417316,0.00606005071822326,0.00609018994953347,0.00524735126113246,0.00521413498215707,0.00521515766340726,0.00524531388388933,0.00526095937389649,0.00605101132958087,0.00602444863856242,0.00601762310935398,0.00601129448712102,0.00600366491840344,0.00693480143738914,0.00695074898367634,0.00694526263504058,0.00689665902366713,0.00686987278736683,0.00762122882956837,0.00766746259844477,0.00768403344921478,0.0077303898939973,0.00776222399135777,0.0098431229905835,0.00977483714410812,0.00976549270703484,0.00977951861456113,0.00977981924883304,0.014412058123127,0.014416053238805,0.0144010074823636,0.0143097996805269,0.0142561835470892,0.0183374565480445,0.0184354830727258,0.0184735433445431,0.0186200010513005,0.0187235751670123,0.0228255521786451,0.0226550422498362,0.0225875341710734,0.0223411070579948,0.0221413240778011,0.0327104030682428,0.0330298604943724,0.0331262680669758,0.0334331617702253,0.0336843521512907,0.0542550977925279,0.0537514555601066,0.0536340236953001,0.0533020911802738,0.0530188365465271,0.07679418367366,0.0774234113868012,0.0776824302912575,0.0785736033433282,0.07937787301347,0.113562504317625,0.112481798536322,0.112190210976569,0.11050961611468,0.108774521718896,0.162947290667048,0.166838479983921,0.167997038433561,0.169631711462504,0.172402175916584,0.243891628286125,0.243891621575108,0.243891683314692,0.243891646577775,0.243891687717968,0.203668543311954,0.203668537995459,0.203668673614016,0.203668482809537,0.203668609239377,0.194403333142029,0.194403667858984,0.194403357306786,0.194403515225369,0.194402798667596,0.216391023149535,0.21639466962513,0.216388977554355,0.21638786363829,0.216393602375434
1903,0.0536456307761982,0.0540435357502199,0.0544701968178115,0.0518458919504031,0.0518495806961303,0.00705717469013566,0.00700035349493594,0.00693618932624718,0.00686278482808233,0.00677598515132479,0.00607078981906862,0.00602790114843653,0.00600561879163334,0.00600545428003658,0.006054854101622,0.00523218010381233,0.00523155504952615,0.00521401641633448,0.00523014518307829,0.00527531230727739,0.00602283394725947,0.0060334039520474,0.00602453190217383,0.00602126430830525,0.0060076991255121,0.0069521965974345,0.00695025217396368,0.00695060425394207,0.00691477365840899,0.00682769370457621,0.00766152158157863,0.00764358543584567,0.00766700824227028,0.00770125927000628,0.00779213648760778,0.00978136827455993,0.00979981166406577,0.00977449568007967,0.00978596111532028,0.00980467595120079,0.0143965974792369,0.0144123984275701,0.0144163943103337,0.0143629896709178,0.0142066701114384,0.0184274908285204,0.0183842095666049,0.0184360080196977,0.0185330476154315,0.0188092017234826,0.0226356847028303,0.0227249180230451,0.0226506046135679,0.0225011571702901,0.0220535054646221,0.0331561620919824,0.0329364375707779,0.0330237951691326,0.0331590868258247,0.033684569344761,0.0538710376070281,0.0540339386533139,0.053764407034944,0.053521604372637,0.0527860922539242,0.0774420069757329,0.0771433719919168,0.0774604737393055,0.0780203281880815,0.0797345881381787,0.111357245839363,0.112590543420209,0.112715508436525,0.112450973922314,0.109497448416207,0.166930489635156,0.165298231868804,0.167067095418767,0.16784067896448,0.170981946367816,0.24389165559111,0.243891667919326,0.243891630406051,0.243891669110409,0.243891594108187,0.20366855399162,0.203668623479385,0.203668590633271,0.203668646764339,0.203668302257491,0.194403191955465,0.194403122918787,0.194403740658452,0.194403535648626,0.19440424368106,0.216391462072496,0.216391934823938,0.216391838501024,0.216388041226923,0.216393456050545
1904,0.0522327282876121,0.0530969333022132,0.0539946149655101,0.0542438110447568,0.0532582487564635,0.00711352489586927,0.00703810043025239,0.00694086865669719,0.00682768587889109,0.00669608510918752,0.00620199133444882,0.00606544037248164,0.00597970751532661,0.00595162437632264,0.00596331987599033,0.00518543120867336,0.00523152831653805,0.00524620230998852,0.00524463048818993,0.00527640213954441,0.00595977633032666,0.00602296347672048,0.00605103509518237,0.00604597825942036,0.00603564129716595,0.00697332694243682,0.00695187251361155,0.00693424767945855,0.00690448076027304,0.00683041764026486,0.00778438092948658,0.00766067848439782,0.0076197964466592,0.00766092864858993,0.00773928544218211,0.0096352923718594,0.00978130048313504,0.00984426575072668,0.00983989587890215,0.00985636610250926,0.0143549147450872,0.0143955148319374,0.0144121469144068,0.0143784976103718,0.0142609520344371,0.0187039862926232,0.0184249804835219,0.0183307321388713,0.0184423372236498,0.0186685738235242,0.0221816818210038,0.0226412126428993,0.0228289665128311,0.0226734694088691,0.0223193083184783,0.0340800710250489,0.0331289046455649,0.0326948505135772,0.0328145825267232,0.0331598559005754,0.0528128328167663,0.0539098813560785,0.0543074694766658,0.0539107095501766,0.0532615915780658,0.0792002100398042,0.0774559297340721,0.0767489677828403,0.0773240328671002,0.0786290240040465,0.107865347091366,0.111751904589338,0.114218148175843,0.114305167928085,0.112719944262806,0.175997831249008,0.166901186200642,0.162056679156491,0.16299632259988,0.164569762799863,0.243891652494261,0.243891670996042,0.243891619709082,0.243891616043128,0.243891675746629,0.203668598179216,0.203668507789607,0.203668585732386,0.203668509884143,0.203668638366127,0.194403457133883,0.194403562981327,0.194403071005548,0.194403750247177,0.194402850472418,0.216391378746277,0.216390908294155,0.216389829434465,0.216400225436653,0.216386641361215
1905,0.0556378674268663,0.0503023049021124,0.0460744308469439,0.0432838072687719,0.0418069539111349,0.00597541068979626,0.00593289695796649,0.00593590231855192,0.00598401157693256,0.00607056292171323,0.00518528877721131,0.00524665454055272,0.00532081578118231,0.00543824473287606,0.00558558432635575,0.00476066589917102,0.00483630564414174,0.00485933219034174,0.00483012812948441,0.0047818193069785,0.00559070190281742,0.00558966640276323,0.00557325758520936,0.005524640673574,0.00545928013736464,0.00658340324633959,0.00655338590522577,0.00654905516563333,0.00656735314606875,0.00659532227944422,0.00767324207689022,0.00767034831824175,0.00771757220615158,0.00783822678090167,0.00798409279687667,0.00956095740530161,0.00963029274680433,0.00959603692195046,0.00945689959432822,0.00928670957861856,0.0125716262254562,0.0125016639485163,0.0124636739478553,0.0124309181677213,0.0123924864497319,0.0165839951293403,0.0165056193002305,0.0165517605348285,0.0167743510269562,0.017070093261684,0.0233465835714298,0.0235564940185769,0.0234939472215461,0.0231239428416584,0.0226572848888551,0.03564907638704,0.0353337090938237,0.0355296661832306,0.0363468888284235,0.0374010675246356,0.0552344928559138,0.0560294923893052,0.0559939187390109,0.0550294219305191,0.0537302581050811,0.0809124953019076,0.0799639755689718,0.0800723934790711,0.0815589451765635,0.0836687748293724,0.121454518870665,0.123383834087066,0.123402016217942,0.120693636513662,0.116424240053947,0.189739234629076,0.182422561964575,0.178417395231525,0.182420829006028,0.193219629822258,0.280605150777125,0.280605158124103,0.280605174681725,0.280605132931291,0.280605132230536,0.256072531192116,0.25607229795836,0.256072458540201,0.25607229470083,0.256072589719687,0.262320885844082,0.262320850215461,0.262321735527712,0.262320201838415,0.262320810888237,0.235192530281112,0.2351929266389,0.235189523118183,0.235198423653835,0.235198148333107
1906,0.0500643174351955,0.0512619239469066,0.0474177572765919,0.0448541497325389,0.0434887571679264,0.00604086623796322,0.0059782306282939,0.00593371035000177,0.00593266766308066,0.00598605698860425,0.00528718992586207,0.00533195596197838,0.0053359168673844,0.00535854928487984,0.00543392500226226,0.00475066428757684,0.00479967011878878,0.00483786486300244,0.00485039338673996,0.00483008397986473,0.00555747710414376,0.00554317614814771,0.00555793351680047,0.00555751446505274,0.00552487938283811,0.00659522423527265,0.00656879847495257,0.00655750713889981,0.00655681819636623,0.00656730150015104,0.00775697682288268,0.00776895958365213,0.0077478164254133,0.00776041546836746,0.0078362410013631,0.00946410379534227,0.00951492055983698,0.00955421911886388,0.00954228408942407,0.00945801500101334,0.0125447167208165,0.0124732375214151,0.0124618105224731,0.0124541826007467,0.0124315736752422,0.0167257828652862,0.0167014380452713,0.0166253569589607,0.0166244302319671,0.0167646251423057,0.0231191632909712,0.0232455832528548,0.0233738131894665,0.0233629810347147,0.0231281334748129,0.036177802736186,0.0359491765295905,0.035754925888449,0.0358191646939532,0.0363156425740183,0.0546470043908072,0.0551760621367056,0.0556198897613048,0.0556850923408312,0.0551324890663494,0.0817019515011347,0.0810904057815744,0.080609233546327,0.080592298210916,0.0814697517749326,0.11970478302293,0.120881735706741,0.122185365881754,0.122781731250041,0.121693131577433,0.189403191876572,0.186802862717212,0.182490667312245,0.17955118132519,0.183011715084909,0.280605163957866,0.280605162176128,0.280605128255411,0.280605164429306,0.280605126351323,0.256072380261583,0.256072489530068,0.256072517083464,0.256072475227337,0.25607223807826,0.262321312902395,0.26232092565189,0.262320141213995,0.262320644583813,0.262321790634097,0.235194591522846,0.235194203839571,0.235189712540156,0.235193935667097,0.235195016424005
1907,0.0461807137419938,0.0454641467093683,0.050262721431997,0.0481569365353425,0.0471427376628134,0.00605270168782929,0.00601254176439464,0.00597109214991617,0.00591857861058707,0.00590014703013518,0.00533718488029341,0.00538244568368763,0.00537609430933011,0.00532741421372344,0.005306437560026,0.00476621265961167,0.00479717004094195,0.00480951786786604,0.00483724179497749,0.00485842600948745,0.00555792963618389,0.00552577498616736,0.00552737029971316,0.00555798019850587,0.00557353184396163,0.0066007223602988,0.00657252836401659,0.0065650597509245,0.00655733516252708,0.00654860988836539,0.00778967867124055,0.0078087911860692,0.00780261276607993,0.00774692256342692,0.00771549845623827,0.00941589425992791,0.00947235046805205,0.0094936847164865,0.00955511525159466,0.00959839694831003,0.0125449204556658,0.0124552685133045,0.0124430432981997,0.0124616094215122,0.0124632842872546,0.01675436717398,0.0167624446965743,0.0167420346700394,0.0166214244635458,0.0165418739608239,0.0230258362800305,0.0231502902300174,0.0231965666746858,0.0233782014917768,0.0235079617076276,0.0364517358516591,0.036161095581679,0.0360613020700576,0.0357338784933991,0.0354696717606548,0.0544603791983754,0.0549776917482841,0.0551462078436791,0.0556654663474603,0.0561271806432982,0.0820631282969291,0.0813528103889536,0.0811879339925855,0.0805748213515508,0.0799297682523909,0.119466170370915,0.120494597360716,0.120941761197178,0.122532362016019,0.124436761006634,0.186969749254315,0.186398371923016,0.186710154976566,0.18300354060728,0.178399923753889,0.280605179128251,0.2806050991728,0.280605129766667,0.280605186779321,0.280605178169625,0.256072409679202,0.25607248171594,0.256072346046695,0.256072581286911,0.256072333926173,0.262320951466272,0.262320390376022,0.262321131710941,0.26232146980072,0.262321249544393,0.235192498995638,0.235193851607909,0.235197683746324,0.235193191328995,0.235189671015668
1908,0.0433373160375282,0.0450112476473946,0.0460936324890319,0.0516289957287556,0.0513588145700228,0.00598783996362626,0.00600194017099296,0.00600200762849498,0.00597561356065137,0.00590176917959678,0.00538924701225153,0.00537697639758036,0.00538254898335717,0.0053311469127083,0.00523966221890541,0.00483370364368417,0.00480165244495708,0.00479693615855791,0.00479952117471325,0.00483573308877081,0.00554185061966299,0.00554187383320986,0.00552580824025313,0.00554337593098792,0.00559008902884196,0.00657018883491141,0.00658163386737102,0.00657254862585723,0.00656883617924746,0.00655297909951045,0.00780901072645899,0.00780723504123343,0.00780834139907471,0.00776771851296544,0.0076691103333736,0.00946987673228464,0.0094450888148905,0.00947219197965216,0.00951564753968558,0.00963278511161251,0.0124577318092602,0.012485279539681,0.0124554511818382,0.0124741008052943,0.0125017567546775,0.0167183186315943,0.0167473806194672,0.0167609809280571,0.0166972055302203,0.0165016528604163,0.0231820464264451,0.023102848986351,0.0231477485242564,0.0232473381464237,0.0235730304606299,0.0362117199309672,0.0363135481401757,0.0361566160146917,0.0359282381767434,0.0352771930592349,0.055177295391746,0.0548365643463855,0.0549821077154346,0.0552080056003945,0.0560964256733508,0.0812843959056777,0.0816841330435678,0.0813954647201513,0.0810640498411228,0.0798177074524171,0.121399162111918,0.120431789969234,0.120575941947966,0.12113809349089,0.123640068615574,0.182139870225148,0.18564696223736,0.187728220943557,0.188467130635796,0.182239117301209,0.280605144217016,0.280605145451867,0.280605185957323,0.280605131506714,0.280605154804111,0.256072458171341,0.256072501957331,0.256072342596845,0.256072438088023,0.256072342492739,0.262320680516809,0.262321448400082,0.262320726333459,0.262321010453132,0.262320977727879,0.235195031314047,0.235194578211746,0.235195378052909,0.235185221413522,0.235193528848126
1909,0.0415435479963222,0.0449336303334374,0.0473421188665867,0.0496327918921891,0.054052072050903,0.00584753584883982,0.0059533470870968,0.00602356464149137,0.00605803087467693,0.00603318408542503,0.00550501344961828,0.00538417571866971,0.0053178135047474,0.00529054919398183,0.00520463977516597,0.00495590081339087,0.00483253185589915,0.00476394746258192,0.00475073625179589,0.00476241627548711,0.005495034205089,0.00554178104829074,0.00555775365054744,0.00555784418869112,0.00559165531141782,0.00650209479705814,0.00657019873096763,0.00660078538305138,0.0065955872077253,0.00658388847318083,0.00783402526976317,0.00780879785100337,0.00778891723376778,0.00775583655116696,0.00767240561932228,0.00962340869989805,0.00946873370144204,0.00941516745430585,0.00946412215408134,0.00956269702310244,0.0122640785396817,0.0124577783244872,0.0125457561998745,0.012547465988813,0.01257627330042,0.016658459169535,0.0167176867918775,0.0167520779109324,0.0167238461481024,0.0165857954450173,0.0235509408260357,0.0231737667212936,0.0230184911518102,0.0231165345181882,0.023358402229862,0.0355358915691213,0.0362161404137834,0.0364627878538255,0.0361800007258826,0.0356290019436032,0.0567102315965154,0.0551509656967438,0.054414137374538,0.0546020890471061,0.0551698440395579,0.0796312889859473,0.081434029233163,0.0822411341052609,0.0817506955658907,0.0807349831807667,0.124786979654863,0.12138788049915,0.119377701500021,0.119428480102422,0.120640252070796,0.177757318068421,0.183947981751539,0.189314967445655,0.191407420442598,0.189127162667487,0.280605116979639,0.280605200764109,0.280605141920121,0.28060514071662,0.280605168433337,0.256072381160647,0.256072376625232,0.256072504210105,0.256072353089878,0.256072691935347,0.262320859353272,0.262321126680232,0.262321015785579,0.262321386160568,0.262319736586194,0.23519297872862,0.235191951557684,0.235195382672461,0.23519743638724,0.235191388678537
