CDRscale,CDRscaleE,chr,dr_dx_cost,DR_ts,dr_tx_cost,ds_dx_cost,DS_neta,ds_tx_cost,dst_cost,dst_prob,e,emp_tx_p,fadult,fchild,felderly,n,nelderly,omega,padult,pchild,pelderly,radult,rchild,relderly,uiscaleA,uiscaleC,uiscaleE,vadult,vchild,velderly,x,xi_init
0.957885830987847,0.60051818395691,0.195469633573666,25.8895248685364,0.766776069966145,306.305908639123,21.4175178392007,0.354635212630033,14.586882538332,37.6904357945777,0.142971851909533,0.761305414019356,0.11361574341543,0.746878686867675,0.128025651386383,0.557040877097047,0.183458234238392,0.154114108552714,0.015394421065983,0.155363924226305,0.023827535312759,0.256052414084118,0.016893090316829,0.02868739689068,0.02028510423706,-0.98287440406261,-0.950383186921688,-0.965864646609716,0.000235148328681,0.000136770841559,0.003473034486381,0.348057143090422,0.009720109160134
0.954736349325577,0.558993145394614,0.201102514211088,25.9044769087226,0.773026703414507,303.014376217735,21.0805384911543,0.354526216531172,14.4297347599228,37.609944794171,0.149761552310083,0.784749961838329,0.086833711338695,0.748222716694253,0.12578401452876,0.565363885588146,0.188218001122308,0.155526233962295,0.015381040667396,0.151937484122208,0.023726938569589,0.258485676986989,0.016992808566605,0.031694962996347,0.022979366327292,-0.990469857502124,-0.956944582245635,-0.961791243887378,0.000233678206341,0.00013243352307,0.002821113186023,0.35098527389666,0.009957217792991
0.955577952791504,0.616670887379563,0.198512928015553,26.3109075883116,0.765321930097416,303.098658785117,21.2813149367176,0.353696589073166,14.2154853971071,38.6753408108591,0.162045006332919,0.766987443559075,0.097353382650763,0.723531785499325,0.12504711122243,0.574767025578714,0.181409498989303,0.150237963446207,0.015173815715851,0.162241703000246,0.023511472818345,0.262399191390242,0.017363476041322,0.032565688147871,0.019690712808474,-0.971700734930691,-0.963684518469251,-0.967952477533754,0.000234652349294,0.000125176402079,0.0034102380018,0.349538789126779,0.009932848532233
0.955550876591808,0.563990314946063,0.186836919719353,26.1942074101412,0.732872289367951,302.743540783947,21.4722413742959,0.371954512637108,14.3466486263727,37.4595649971704,0.155697673952673,0.765214772019738,0.106232877462171,0.725469282010125,0.125532223870189,0.5680915902737,0.183373668700411,0.1507674149459,0.014838214269274,0.15978639383982,0.023164960245738,0.252891486824568,0.015516111847469,0.028606348642903,0.020377274785313,-0.9775398285795,-0.953106106421944,-0.968633939489501,0.0002354010494,0.000128376542705,0.002922626902265,0.354404143164064,0.010074422299761
0.955620305876002,0.528739012912428,0.195654119909741,26.1139686559196,0.78682658417616,304.074319515166,21.4462818896459,0.339740328978747,14.5480090562712,37.9468245217951,0.149601666862145,0.774492722010443,0.097755376428831,0.73709015342083,0.124959915920303,0.567860831503145,0.183088000838133,0.153733732981165,0.015365408029052,0.158228320398136,0.02370711762821,0.250606398159344,0.017333085695364,0.029864935950013,0.021108455368906,-0.985051713020727,-0.932530953187603,-0.953817943413642,0.000235764656572,0.000133299689216,0.003457364791129,0.350070688309278,0.009904680185934
0.963255216613064,0.506726365503194,0.189815785996616,25.9476280289336,0.765527448789217,298.493598680076,21.586364365831,0.340406984350644,14.425110348349,37.3684973818676,0.154445290926378,0.786382682724128,0.121581981310155,0.749509754061254,0.12917903356245,0.575725024855084,0.18397209024611,0.155310699322285,0.014810222638588,0.158248578690878,0.022234214025919,0.24352832779799,0.015649345906534,0.030359986320334,0.02142919731171,-0.988977910216079,-0.922092305249186,-0.949406629631624,0.000233458037401,0.000136322020429,0.004023757165285,0.345861401927228,0.010079371674737
0.965500884542583,0.550933550518193,0.181773362865206,25.9881692729312,0.719209981318563,306.904700109315,21.3706619554681,0.356105925458483,14.5964498210357,37.9528992815483,0.144032629351132,0.772772212447802,0.108901566385757,0.74618015081065,0.123022927400333,0.568325246651045,0.184506050502835,0.153430740362057,0.015745171190848,0.161225053022756,0.020022502452272,0.255550569384251,0.017805657699042,0.03068600537275,0.020237389414507,-0.983675128462902,-0.911727881738437,-0.942512506373927,0.000238624441351,0.000137023357887,0.003230913949854,0.350457243957128,0.010012889321601
0.951169832382078,0.537949274045062,0.202315003825352,25.9188118758116,0.790854147742503,303.678200078872,21.3771484026328,0.344713643336668,14.5579232066439,38.2464312547889,0.13918444204377,0.774148788428137,0.110595588583965,0.735872910720317,0.125710576602866,0.567407150480471,0.18408652309021,0.152364917303226,0.015293076142662,0.16069241608861,0.022350472340497,0.254399838565741,0.016767598923751,0.029613463547277,0.021252446987416,-0.977988036033483,-0.935347952558022,-0.946196385744868,0.00023328163502,0.000135235592206,0.003473215413588,0.353142848437037,0.009948018359971
0.955093857913992,0.567254922821792,0.201512091904879,26.0620387625919,0.777263025864959,305.88861921907,21.2652861725775,0.355045692980289,14.5773891906339,37.7654240662506,0.139295259946957,0.773117057584429,0.107612049691379,0.743327477724778,0.12458494214658,0.566088927427254,0.184008339500474,0.152247919630283,0.015236044668749,0.158025194413355,0.022812076916589,0.254349050114009,0.016729335059122,0.031164685062236,0.021031986744917,-0.97109346448537,-0.935014417695939,-0.967162340613755,0.000236331071351,0.000134312285206,0.003664871348853,0.348290298705305,0.009981152440753
0.950693905688483,0.546160738006709,0.195608758849557,26.3100269562585,0.784775315620936,302.071232686763,21.4237883068239,0.3497203479046,14.6531382559958,37.822008016168,0.150608988960739,0.776921280265057,0.108129071278963,0.736124819148352,0.122564813929985,0.559246958372316,0.182318379508984,0.152542241452751,0.015530639369584,0.157517504069908,0.023119635188856,0.249463579679545,0.016417292001833,0.029137113183095,0.020632646492711,-0.98256401103613,-0.929898443247756,-0.946884884342693,0.000236685260455,0.000129543497934,0.003395698536025,0.351809143988545,0.009918932818385
