glf_hash,A,K,v,Q,C,B,M,tstart,tend
eb085544ec80362328ded5f6033e2cae,0,0.075,0.02,1.1,1,0.0125,2006.25,2006,2020
eb085544ec80362328ded5f6033e2cae,0,0.075,0.02,1.1,1,0.0125,2006.25,2006,2020
eb085544ec80362328ded5f6033e2cae,0,0.075,0.02,1.1,1,0.0125,2006.25,2006,2020
"39f054d29c5dfb3874bf964f2204fdd4","0","0.0654","0.005","1","0.975","0.01","2014","2006","2020"
"39f054d29c5dfb3874bf964f2204fdd4","0","0.0654","0.005","1","0.975","0.01","2014","2006","2020"
"df694dee9e5522371a394ade1b31d522","0","0.0625","0.005","1","0.975","0.01","2013.35","2006","2020"
