"","t",""
"1",1900,0.400021992183098
"2",1901,0.400021992183098
"3",1902,0.400021992183098
"4",1903,0.400021992183098
"5",1904,0.400021992183098
"6",1905,0.400021992183098
"7",1906,0.400021992183098
"8",1907,0.400021992183098
"9",1908,0.400021992183098
"10",1909,0.400021992183098
"11",1910,0.400021992183098
"12",1911,0.400021992183098
"13",1912,0.400021992183098
"14",1913,0.400021992183098
"15",1914,0.400021992183098
"16",1915,0.400021992183098
"17",1916,0.400021992183098
"18",1917,0.400021992183098
"19",1918,0.400021992183098
"20",1919,0.400021992183098
"21",1920,0.400021992183098
"22",1921,0.400021992183098
"23",1922,0.400021992183098
"24",1923,0.400021992183098
"25",1924,0.400021992183098
"26",1925,0.400021992183098
"27",1926,0.400021992183098
"28",1927,0.400021992183098
"29",1928,0.400021992183098
"30",1929,0.400021992183098
"31",1930,0.400021992183098
"32",1931,0.400021992183098
"33",1932,0.400021992183098
"34",1933,0.400021992183098
"35",1934,0.400021992183098
"36",1935,0.400021992183098
"37",1936,0.400021992183098
"38",1937,0.400021992183098
"39",1938,0.400021992183098
"40",1939,0.400021992183098
"41",1940,0.400021992183098
"42",1941,0.400021992183098
"43",1942,0.400021992183098
"44",1943,0.400021992183098
"45",1944,0.400021992183098
"46",1945,0.400021992183098
"47",1946,0.400021992183098
"48",1947,0.400021992183098
"49",1948,0.400021992183098
"50",1949,0.400021992183098
"51",1950,0.400021992183098
"52",1951,0.400021992183098
"53",1952,0.400021992183098
"54",1953,0.400021992183098
"55",1954,0.400021992183098
"56",1955,0.400021992183098
"57",1956,0.400021992183098
"58",1957,0.400021992183098
"59",1958,0.400021992183098
"60",1959,0.400021992183098
"61",1960,0.400021992183098
"62",1961,0.400021992183098
"63",1962,0.400021992183098
"64",1963,0.400021992183098
"65",1964,0.400021992183098
"66",1965,0.400021992183098
"67",1966,0.400021992183098
"68",1967,0.400021992183098
"69",1968,0.400021992183098
"70",1969,0.400021992183098
"71",1970,0.400021992183098
"72",1971,0.400030059234299
"73",1972,0.400041085138007
"74",1973,0.400056154924715
"75",1974,0.40007675131773
"76",1975,0.400104900329066
"77",1976,0.400143370011338
"78",1977,0.400195941645019
"79",1978,0.400267779522161
"80",1979,0.400365934729086
"81",1980,0.400500030655779
"82",1981,0.400683194237033
"83",1982,0.400933318124259
"84",1983,0.401274766006566
"85",1984,0.401740666645255
"86",1985,0.402375981202734
