"","t",""
"1",1900,0.400000082441183
"2",1901,0.400000082441183
"3",1902,0.400000082441183
"4",1903,0.400000082441183
"5",1904,0.400000082441183
"6",1905,0.400000082441183
"7",1906,0.400000082441183
"8",1907,0.400000082441183
"9",1908,0.400000082441183
"10",1909,0.400000082441183
"11",1910,0.400000082441183
"12",1911,0.400000082441183
"13",1912,0.400000082441183
"14",1913,0.400000082441183
"15",1914,0.400000082441183
"16",1915,0.400000082441183
"17",1916,0.400000082441183
"18",1917,0.400000082441183
"19",1918,0.400000082441183
"20",1919,0.400000082441183
"21",1920,0.400000082441183
"22",1921,0.400000082441183
"23",1922,0.400000082441183
"24",1923,0.400000082441183
"25",1924,0.400000082441183
"26",1925,0.400000082441183
"27",1926,0.400000082441183
"28",1927,0.400000082441183
"29",1928,0.400000082441183
"30",1929,0.400000082441183
"31",1930,0.400000082441183
"32",1931,0.400000082441183
"33",1932,0.400000082441183
"34",1933,0.400000082441183
"35",1934,0.400000082441183
"36",1935,0.400000082441183
"37",1936,0.400000082441183
"38",1937,0.400000082441183
"39",1938,0.400000082441183
"40",1939,0.400000082441183
"41",1940,0.400000082441183
"42",1941,0.400000082441183
"43",1942,0.400000082441183
"44",1943,0.400000082441183
"45",1944,0.400000082441183
"46",1945,0.400000082441183
"47",1946,0.400000082441183
"48",1947,0.400000082441183
"49",1948,0.400000082441183
"50",1949,0.400000082441183
"51",1950,0.400000082441183
"52",1951,0.400000082441183
"53",1952,0.400000082441183
"54",1953,0.400000082441183
"55",1954,0.400000082441183
"56",1955,0.400000082441183
"57",1956,0.400000082441183
"58",1957,0.400000082441183
"59",1958,0.400000082441183
"60",1959,0.400000082441183
"61",1960,0.400000082441183
"62",1961,0.400000082441183
"63",1962,0.400000082441183
"64",1963,0.400000082441183
"65",1964,0.400000082441183
"66",1965,0.400000082441183
"67",1966,0.400000082441183
"68",1967,0.400000082441183
"69",1968,0.400000082441183
"70",1969,0.400000082441183
"71",1970,0.400000082441183
"72",1971,0.400000127687391
"73",1972,0.400000197766073
"74",1973,0.400000306306023
"75",1974,0.400000474415895
"76",1975,0.400000734789345
"77",1976,0.400001138063118
"78",1977,0.400001762664521
"79",1978,0.400002730063137
"80",1979,0.400004228392321
"81",1980,0.400006549032913
"82",1981,0.400010143270492
"83",1982,0.400015710036479
"84",1983,0.400024331777044
"85",1984,0.400037684825729
"86",1985,0.400058365078465
"87",1986,0.400090392033668
"88",1987,0.400139988565084
"89",1988,0.400216786500873
"90",1989,0.400335688693377
"91",1990,0.400519740674964
"92",1991,0.400804548764285
"93",1992,0.401245052260169
"94",1993,0.401925843947941
"95",1994,0.402976754850668
"96",1995,0.404596048264159
"97",1996,0.407084134614756
"98",1997,0.410890693709087
"99",1998,0.416676152271525
"100",1999,0.425381791932157
"101",2000,0.438286431941978
"102",2001,0.456996025333219
"103",2002,0.483268091524003
"104",2003,0.518549457808669
"105",2004,0.563193824790633
"106",2005,0.615620658508101
"107",2006,0.672048331241417
"108",2007,0.727361039940597
"109",2008,0.776828389125505
"110",2009,0.81756780705323
"111",2010,0.848902030790947
"112",2011,0.871758427353705
"113",2012,0.887794165581181
"114",2013,0.898739762462308
"115",2014,0.906071568222105
"116",2015,0.910920955136346
"117",2016,0.914101635642952
"118",2017,0.916176360964934
"119",2018,0.917524823771635
"120",2019,0.918399206061469
"121",2020,0.918965321069597
"122",2021,0.919331489722085
"123",2022,0.919568180607507
"124",2023,0.91972111438033
"125",2024,0.919819903684168
"126",2025,0.919883706806898
"127",2026,0.919924909520512
"128",2027,0.919951515461614
"129",2028,0.919968694994933
"130",2029,0.919979787538424
"131",2030,0.919986949674217
"132",2031,0.919991574001456
"133",2032,0.919994559735219
"134",2033,0.919996487488039
"135",2034,0.9199977321464
"136",2035,0.919998535761402
"137",2036,0.919999054615564
"138",2037,0.919999389613539
"139",2038,0.919999605904717
"140",2039,0.919999745552893
"141",2040,0.919999835716572
"142",2041,0.919999893930635
"143",2042,0.919999931516466
"144",2043,0.919999955783705
"145",2044,0.919999971451813
"146",2045,0.919999981567905
"147",2046,0.919999988099345
"148",2047,0.91999999231636
"149",2048,0.919999995039069
"150",2049,0.919999996796982
"151",2050,0.919999997931976
"152",2051,0.919999996796982
"153",2052,0.919999996796982
"154",2053,0.919999996796982
"155",2054,0.919999996796982
"156",2055,0.919999996796982
"157",2056,0.919999996796982
"158",2057,0.919999996796982
"159",2058,0.919999996796982
"160",2059,0.919999996796982
"161",2060,0.919999996796982
"162",2061,0.919999996796982
"163",2062,0.919999996796982
"164",2063,0.919999996796982
"165",2064,0.919999996796982
"166",2065,0.919999996796982
"167",2066,0.919999996796982
"168",2067,0.919999996796982
"169",2068,0.919999996796982
"170",2069,0.919999996796982
"171",2070,0.919999996796982
"172",2071,0.919999996796982
"173",2072,0.919999996796982
"174",2073,0.919999996796982
"175",2074,0.919999996796982
"176",2075,0.919999996796982
"177",2076,0.919999996796982
"178",2077,0.919999996796982
"179",2078,0.919999996796982
"180",2079,0.919999996796982
"181",2080,0.919999996796982
"182",2081,0.919999996796982
"183",2082,0.919999996796982
"184",2083,0.919999996796982
"185",2084,0.919999996796982
"186",2085,0.919999996796982
"187",2086,0.919999996796982
"188",2087,0.919999996796982
"189",2088,0.919999996796982
"190",2089,0.919999996796982
"191",2090,0.919999996796982
"192",2091,0.919999996796982
"193",2092,0.919999996796982
"194",2093,0.919999996796982
"195",2094,0.919999996796982
"196",2095,0.919999996796982
"197",2096,0.919999996796982
"198",2097,0.919999996796982
"199",2098,0.919999996796982
