unique_id,fchild,fadult,felderly,vchild,vadult,velderly,rchild,radult,relderly,pchild,padult,pelderly,n,nelderly,omega,CDRscale,CDRscaleE,uiscaleC,uiscaleA,uiscaleE,DS_neta,DR_ts,x,e,xi_init,nt_dst_prob,pt_dst_prob,ntii_emp_tx_p,ptii_emp_tx_p,ntin_emp_tx_p,ptin_emp_tx_p,dr_tx_cost,ds_tx_cost,dst_cost,dr_dx_cost,ds_dx_cost
man,0.110294210031352,0.748833337526792,0.57918067081714,0.000233887584097,0.000271806950918,0.003635035982474,0.010284044479673,0.015947094651032,0.010779736399689,0.018681044888052,0.155765765496708,0.327184497578145,0.173249349462169,0.158934628893715,0.010328960272427,0.98638363661983,0.497097606282612,-0.931588214622075,-0.988087108187326,-0.93897354427362,0.460378054048401,0.761043464071117,0.251563985990863,0.721409389604271,0.003196111298723,0.023920369499829,0.064304976083805,0.280526880105026,0.483614393454045,0.236046330411918,0.236067494568415,354.467396829344,16.9259129647471,44.2178823986536,27.6051648913746,24.8083818064347
man,0.115757421168688,0.740713022549661,0.56286434101345,0.00023000443226,0.000277616292895,0.004005203034485,0.011103956224677,0.015019704040698,0.011289511254841,0.018959960897289,0.158894652544886,0.324284317241871,0.175101622141966,0.160977230335214,0.010305713288141,0.979283419055789,0.480735509553705,-0.95000222322749,-0.976235831264029,-0.951080793899234,0.449325494983699,0.795818933881819,0.252039930883925,0.716818931557627,0.003436244642886,0.02090692621423,0.061348044772168,0.247336414298043,0.504251045496203,0.219505583341233,0.230714187221602,356.055930438556,16.9237519217225,44.1374700309655,27.4749727089831,24.7775277965664
man,0.117555603447792,0.738689673624957,0.573763357431758,0.000231999252533,0.000274125009531,0.003592884904468,0.011334903922864,0.014362066221609,0.011261732259245,0.018045737739721,0.156699510119103,0.322389041350299,0.174577013835845,0.161068874365279,0.010442279797713,0.979771273625743,0.52660571731362,-0.915053169584619,-0.986356903964872,-0.959980166776732,0.450348859618884,0.798600238445215,0.251236021816861,0.716600830858962,0.003226259211751,0.028198164256756,0.063392820318696,0.273588386797346,0.510109658269212,0.236439580260776,0.244388365629129,352.214339201212,16.7960918989547,44.088729299545,27.6767433963087,24.6659091275675
man,0.115655101179101,0.733022862044653,0.58208960472675,0.000230881990897,0.000271756882755,0.004060360895467,0.010154192139675,0.015013702644128,0.010827719345634,0.017630183866083,0.159708936350413,0.327018684613035,0.172234693785033,0.165966605136731,0.010735845280136,0.981004669992969,0.511702874806035,-0.958512789285109,-0.984818264491432,-0.950697808462989,0.443980135590304,0.795609453534707,0.252417988690119,0.719733125515671,0.003206150349162,0.018340691465419,0.063235087117647,0.253817631499842,0.522454351885244,0.235730213108473,0.261751552405767,351.273491288446,16.8444502186036,44.234816536826,27.5588562119777,24.5878069946633
man,0.113146763938435,0.736727104208456,0.562774010896626,0.000238033071873,0.000276360300064,0.004120551711841,0.012180930374563,0.015812000992149,0.012186613737923,0.017486436105867,0.159127818598404,0.313476215560065,0.178287392346955,0.15875102899396,0.009696136496579,0.979885556793082,0.610955207600598,-0.942688810276129,-0.98313971860576,-0.969133890033319,0.439950669103768,0.809787613302469,0.25641109283356,0.72847190943958,0.003197664384411,0.019597440736834,0.059178347813432,0.244682101779617,0.510406056465581,0.17131995211821,0.241963992151432,356.771662775286,17.0928963462638,44.5944144411393,27.6007089494086,24.7508619879776
man,0.112651709254089,0.732008402613481,0.569073013444934,0.000236731845306,0.000280080545716,0.004284512577931,0.012005181696919,0.015592642054334,0.01180437234914,0.016864807466113,0.157920948981672,0.310600562736468,0.178160142612479,0.15660661459677,0.009665169646349,0.978947357158027,0.594295718630157,-0.933310698160194,-0.982698877422172,-0.95739017659167,0.441508884638082,0.820236319112591,0.253750004256647,0.732033565542118,0.003253131308544,0.00948479447281,0.073954155601096,0.257325399154797,0.515429252861068,0.177948954151943,0.250892023667693,354.713175125644,17.1188562750008,44.6118220791914,27.5488472128285,24.6120152708915
man,0.114606337834338,0.733037768074335,0.572777966071609,0.000238161366934,0.000279534414374,0.004181966990596,0.01253324638391,0.015579434873908,0.012024119984304,0.017321150695042,0.158476134845793,0.314593378236593,0.178417410422185,0.157209823482531,0.009695518660503,0.973437427839785,0.614043067980227,-0.921359053066252,-0.973284577319813,-0.953491603652287,0.444840023790952,0.833078712834976,0.254174458678197,0.729230117042006,0.003224298021549,0.004456835163292,0.075646252997686,0.249272873313166,0.51708966080565,0.173630103650503,0.252093916782178,352.806546821095,17.1680252536008,44.8676110009467,27.6979743760271,24.596184657429
man,0.119493287577017,0.741572484404804,0.590134804020766,0.000231756194182,0.000272267513421,0.003947384467589,0.010146807902028,0.016403464609384,0.011026712619365,0.017925998730188,0.159689620852463,0.32553573590655,0.176349672482184,0.160650940946165,0.010359780099499,0.983519880157923,0.606971170111704,-0.964163776765522,-0.989857775878948,-0.978528191031471,0.429816430009436,0.791498220530339,0.253104602807145,0.70664014225492,0.003272208633905,0.011141778270249,0.055541582943407,0.238644794556312,0.533685194384307,0.193708797791041,0.240431626741774,359.53865092773,16.9131758459337,44.8716805113345,27.5889593718161,24.9813284168759
man,0.107548583211566,0.732007298139414,0.571815883199814,0.000229771395742,0.000270603573766,0.003887844879355,0.011014711332229,0.016259347870852,0.011431122425702,0.019782688567018,0.158452986882992,0.323033191411832,0.174141600227284,0.158661111214758,0.010656252500489,0.978262440715385,0.534113079253226,-0.918433641855531,-0.981247256726134,-0.944489929483721,0.435346713684034,0.814163327878341,0.250779783012103,0.715901110507936,0.003225446680787,0.015872262946796,0.057564358024393,0.241937082922086,0.468524470743723,0.217592625878751,0.23287279672455,352.761616589457,16.9985167389199,43.7393203688938,27.4844924620237,25.0244039863
man,0.119369640915378,0.741442073539855,0.566799361577946,0.000232204503577,0.00027712987296,0.003956738583151,0.010651956135501,0.015428245767671,0.010273898424153,0.018749228431213,0.156321586526364,0.321495139186719,0.175688878927681,0.156845999949939,0.010196231183712,0.977988058882382,0.494381031548283,-0.935797288932,-0.975056354168062,-0.948147373852704,0.457431179381442,0.802366643128917,0.252579093851279,0.719085923144982,0.003263760589806,0.03686398197664,0.05331968772458,0.243172280555591,0.494587452323176,0.213484629765153,0.245244521363638,358.065022235475,16.9025438696975,44.0206811909773,27.5825186232073,24.760779064687
