unique_id,fchild,fadult,felderly,vchild,vadult,velderly,rchild,radult,relderly,pchild,padult,pelderly,n,nelderly,omega,CDRscale,CDRscaleE,uiscaleC,uiscaleA,uiscaleE,DS_neta,DR_ts,x,e,xi_init,nt_dst_prob,pt_dst_prob,ntii_emp_tx_p,ptii_emp_tx_p,ntin_emp_tx_p,ptin_emp_tx_p
9cfa9d4e4cd22101aa7c16aee68e8741,0.114609948430283,0.747632230961952,0.563917049063685,0.000225404298238,0.000275210311206,0.00435181270419,0.011494663198339,0.013830333332717,0.010627534497055,0.017817641824086,0.156504051355917,0.320119146869408,0.175613043262342,0.161464950488626,0.010212873543074,0.977660341077614,0.501728926246204,-0.941471014393084,-0.974551789166467,-0.946088535464529,0.456415739640128,0.782551106705796,0.253719020971413,0.716398200889507,0.003146836353783,0.026331754336134,0.062576127988287,0.490895043208729,0.976959503942635,0.480218220949173,0.481088834016118
8ff0bc84e24234715cc4d86f3b1b5de6,0.111737633710799,0.743422263054434,0.562987744117658,0.000228007746202,0.000273680771932,0.003739986152004,0.011053459059261,0.013327203568117,0.010548083401509,0.018013089141294,0.156260810363472,0.320530712503457,0.176435175757807,0.161193091601926,0.010387012077134,0.977083438249211,0.494353994871607,-0.958596114911652,-0.989443474054653,-0.953432036054821,0.444941617093049,0.78196150261676,0.250384369861092,0.716428925392607,0.003252188771202,0.029087279287633,0.079370975811035,0.480764503513929,0.978169615089428,0.451009206885938,0.489189550904557
d47f164fe491565942ba005585a74ebd,0.114041980024616,0.743283417751571,0.546840990921053,0.000231965907424,0.000273786915685,0.004130914366713,0.010798832840007,0.014516554903006,0.010348280728599,0.017908438079011,0.158855029591259,0.3120287228084,0.176262254801531,0.158566968259263,0.010152150253106,0.980225047238431,0.509997278357596,-0.965092626452298,-0.985545682355501,-0.951892126876439,0.444194365109783,0.772373963948339,0.252777626094725,0.723081230698542,0.003077218736836,0.032666635762434,0.052198389582336,0.498647389325779,0.97491718169069,0.489213707093149,0.497858547258656
af63817ce5bf17e488e732193b7e4fa5,0.114177604834854,0.747693064251706,0.558041805390212,0.000230155951975,0.000269067581777,0.003478708044875,0.010627571264049,0.014507431466272,0.012009545992073,0.017596054564414,0.158075063365691,0.317887796480657,0.174071592278847,0.165928539266555,0.010427238089386,0.976143869510864,0.472757689634683,-0.946968273317619,-0.978750469545392,-0.967739615179046,0.438609051186126,0.79916657136986,0.252894874085988,0.725684706094132,0.003199818500795,0.01842412881786,0.05869409875013,0.500674371540081,0.989986898384523,0.458294318031985,0.49970175990602
9a6ae72384b0fa373938f88746a0c4b6,0.11148628999172,0.739714481237369,0.553115947822425,0.000229070358388,0.000272792560048,0.004040069608873,0.011454224731773,0.013811871296493,0.010366015194673,0.018658868706969,0.155138379755144,0.31963077529844,0.17528964205291,0.160375808537217,0.010412183922787,0.974699637182014,0.520196684289258,-0.971392275772915,-0.97654881489052,-0.954332003317538,0.458788054318633,0.792793736462481,0.254391282103341,0.728697990901226,0.003237925884058,0.021338659676258,0.060979711976834,0.494718819705304,0.979963441898581,0.475749194461387,0.489659062472638
5c4ad0269d9b53695d98f579ae8c8dcf,0.115392059559657,0.748743776305835,0.562701055226977,0.000225542225637,0.000275894249974,0.004134427840593,0.011396034782473,0.013523936256393,0.010769074257734,0.017748119800303,0.156583591776986,0.320180973153824,0.175747005180524,0.161089734471265,0.010167147195176,0.976454150043739,0.507139096879154,-0.933954853813188,-0.97405570752813,-0.949503311270207,0.456576195970178,0.785808489297051,0.253682134266328,0.71536299975069,0.003193647734334,0.021455814968795,0.061848839782179,0.491347341241781,0.974152640521061,0.481441097923089,0.487947959061712
e308695917e6cd124abccea853cbedff,0.117960282665051,0.736585827605358,0.553333860355932,0.000230937199763,0.000274396984731,0.004515633885402,0.011424871713249,0.014155590514698,0.010899108627662,0.017922064779161,0.159208254211482,0.311778925508336,0.177657847441801,0.164630947860518,0.010210738728565,0.980866670571122,0.517507256985382,-0.965474714814602,-0.982974531793157,-0.951350784466953,0.450498719493393,0.775475695237983,0.256775741564985,0.719701827499473,0.003056218262017,0.020409200778231,0.059886833969504,0.524820781443268,0.987791437276174,0.434383866712451,0.480119657588657
fb7f32087ff88cb5530767602fe5f4b1,0.114081317836025,0.73910969399314,0.566285806136708,0.000228365186377,0.000275248651958,0.003962085932128,0.012122269756254,0.014053656688053,0.011490689084437,0.018310318518032,0.157808130034332,0.328364676175249,0.176710161537233,0.160052070951533,0.010424752904805,0.97764339866687,0.547029413346942,-0.920304304937935,-0.977968187583792,-0.946323749979676,0.454817633315455,0.776814141694922,0.251633416704964,0.716569343897902,0.003347025941999,0.027440086340066,0.072843506275677,0.487585379250813,0.991510627008975,0.482731615321245,0.515634976641741
3a9a7e46868617e7f02ba3b9f4488a0f,0.114461652458136,0.743172273540894,0.556620283479746,0.000229719388045,0.000273898317005,0.003782779251167,0.010583865484689,0.013374266729969,0.010068253442916,0.017812070838244,0.155087537845683,0.316982587978972,0.176890899571309,0.159565622493486,0.010387154916834,0.978895660079754,0.48932248247636,-0.938420961736618,-0.988141688445746,-0.960939176905553,0.452307744890917,0.780194465650711,0.252077467550095,0.719280635401995,0.003203634272842,0.025241186190397,0.062429435320665,0.488210090207867,0.992007155553438,0.476139783358667,0.490401290643495
73d8c767a4472d8d4e0f5a425c8acabf,0.114035201386388,0.743335956174905,0.559938285187948,0.000229208551235,0.000272419557473,0.004168745478213,0.010341118050693,0.014445690225157,0.010568200782445,0.017659136031706,0.156460843993158,0.317907649740094,0.17412877984899,0.160217968911958,0.010349533411245,0.978787397055532,0.489097153968369,-0.953264889330157,-0.977372117113932,-0.949207762757104,0.45175980880484,0.792294264333323,0.252394806957375,0.721542519786784,0.003134010359117,0.034639094395097,0.061115562873893,0.49316067707492,0.99457984167384,0.478498580874875,0.489338048205245
72357679d07c60b4e7bc214c64efeac2,0.11404597521825,0.741655540519185,0.557751788342687,0.000229020253274,0.000274739119631,0.004014709276946,0.011350937863393,0.01360448807911,0.010514562701518,0.01791947025568,0.157390014201396,0.313802254100872,0.175369618372129,0.160897840881931,0.010255044070663,0.978901458529242,0.485651026871014,-0.962680096624462,-0.978945501108985,-0.954284911792261,0.455496332637035,0.773560930707026,0.251874145828318,0.712614421037414,0.003237803007432,0.025745565576945,0.083024744854775,0.492747540974524,0.979072487717495,0.459284214454237,0.501166139210109
