unique_id,rmortTB,fchild,fadult,felderly,vchild,vadult,velderly,rchild,radult,relderly,pchild,padult,pelderly,ds_n,dr_n,dr_nelderly,ds_nelderly,omega,CDRscale,CDRscaleE,uiscaleC,uiscaleA,uiscaleE,DS_neta,DR_neta,x,e,xi
a49d81219270ed10ff14ccf5a60f7e46,0.115013856843595,0.109018878837282,0.744168157116767,0.540385309055018,0.000247798226585,0.000274938711772,0.004124846653469,0.010207069140054,0.012202299229263,0.009458475330346,0.017641003143948,0.153635935707122,0.341876644802634,0.180098452077294,0.154011394396848,0.131343639087733,0.162431864091895,0.010173913146461,0.970987713069242,0.596569680307512,-0.950099282926842,-0.989072028182023,-0.948296720870539,0.470793436340522,2.02915654980761,0.250029683540816,0.691860823531651,0.010298365807964
Manual_11,0.11351597383009,0.109131058657661,0.742755859320076,0.540987765406835,0.000247607152799,0.000275048173408,0.004125035528854,0.01021586965039,0.012213201328793,0.009059144169327,0.01761201608998,0.153576327115513,0.341470329099689,0.179689850531123,0.154178204715,0.131523651336376,0.162305643407164,0.010206869714466,0.97,0.595,-0.955092912958287,-0.988241915606293,-0.948882306437604,0.47,2.03710359874598,0.250089315954352,0.692200828705558,0.010302646262295
6e44df64bb02396ae3107fe7a3cabc52,0.11351597383009,0.109131058657661,0.742755859320076,0.540987765406835,0.000247607152799,0.000275048173408,0.004125035528854,0.01021586965039,0.012213201328793,0.009059144169327,0.01761201608998,0.153576327115513,0.341470329099689,0.179689850531123,0.154178204715,0.131523651336376,0.162305643407164,0.010206869714466,0.965049000659283,0.589488044028913,-0.955092912958287,-0.988241915606293,-0.948882306437604,0.459928047373891,2.03710359874598,0.250089315954352,0.692200828705558,0.010302646262295
Manual_10,0.115367228104991,0.10899408000829,0.743181165450509,0.54106373262165,0.000247657909005,0.000274916963014,0.004100254619608,0.010220526147746,0.012209023506746,0.009010518621227,0.017616924397063,0.153539768487114,0.341552786703427,0.179759694551328,0.154039074830831,0.131647168806694,0.162343167769655,0.010218277057054,0.965,0.59,-0.955890457874868,-0.989649525713723,-0.95,0.46,2.03514312920344,0.250213626948575,0.691840164112316,0.010304405027956
Manual_9,0.115367228104991,0.10899408000829,0.743181165450509,0.54106373262165,0.000247657909005,0.000274916963014,0.004100254619608,0.010220526147746,0.012209023506746,0.009010518621227,0.017616924397063,0.153539768487114,0.341552786703427,0.179759694551328,0.154039074830831,0.131647168806694,0.162343167769655,0.010218277057054,0.96920835231591,0.607801545734752,-0.955890457874868,-0.989649525713723,-0.931315532983265,0.490287415064872,2.03514312920344,0.250213626948575,0.691840164112316,0.010304405027956
Manual_8,0.116635300288291,0.108938658318788,0.74270414561804,0.540969365521054,0.000247624905423,0.000274732084457,0.004110295084552,0.010221286699847,0.012202232976213,0.008872057730027,0.017660894630381,0.153508534621961,0.341307153379284,0.179725562159392,0.15412367568226,0.131653632983575,0.162273925816107,0.010222188413902,0.96840637800289,0.60733800587115,-0.956480226253986,-0.989133206851494,-0.929709842349399,0.490082773826551,2.03230538717189,0.250169751147682,0.691516262332366,0.010298583382292
Manual_7,0.116646766362439,0.108792647128974,0.742894008073049,0.541760226626489,0.000247493317993,0.000274742919919,0.004131486682976,0.010228302016156,0.01221562292128,0.008710244440052,0.017679575145708,0.153417854034837,0.341392599632032,0.179811430966808,0.154236076177893,0.131692763613756,0.162387282010543,0.010217877067696,0.971029394743047,0.604326377354615,-0.959285606212751,-0.9881271408993,-0.929853789264761,0.49,2.03181469293961,0.250310762059668,0.691389105897972,0.010312463818852
1bdc0dc1b467f1fcd455b7c861c175ef,0.116646766362439,0.108792647128974,0.742894008073049,0.541760226626489,0.000247493317993,0.000274742919919,0.004131486682976,0.010228302016156,0.01221562292128,0.008710244440052,0.017679575145708,0.153417854034837,0.341392599632032,0.179811430966808,0.154236076177893,0.131692763613756,0.162387282010543,0.010217877067696,0.971029394743047,0.604326377354615,-0.959285606212751,-0.9881271408993,-0.929853789264761,0.488169258279725,2.03181469293961,0.250310762059668,0.691389105897972,0.010312463818852
Manual_7,0.088028069027874,0.107568722489526,0.743064493875975,0.545009006536696,0.000245364818633,0.000272437740978,0.004225518641169,0.01012170225841,0.012014158464467,0.009205144510946,0.017511848539391,0.154231230706434,0.341612957658656,0.179,0.154492111193765,0.13291946174813,0.160724236705623,0.010228254595229,0.982557795465066,0.570603543686543,-0.954295445957321,-0.982620979410702,-0.964784521017874,0.5075,1.98364116287509,0.251293798515031,0.687926910087296,0.010359554664322
a4e98d785c74fc7514f0081df0be0aa2,0.063563667982861,0.107987142124682,0.741752333917213,0.546304624792357,0.000243666917232,0.00027417170747,0.0034775645258,0.010412327778367,0.011806567437697,0.012576821377149,0.017141614579174,0.15528517650378,0.335862926221303,0.182492270844912,0.153459942050468,0.136641463927026,0.160401460591846,0.010791291553458,0.976384722846796,0.501509796263972,-0.920661314479367,-0.974612294816027,-0.949174285022645,0.52151815988971,1.9844033765951,0.255040441380867,0.686985080178285,0.010200498914102
