unique_id,rmortTB,fchild,fadult,felderly,vchild,vadult,velderly,rchild,radult,relderly,pchild,padult,pelderly,ds_n,dr_n,dr_nelderly,ds_nelderly,omega,CDRscale,CDRscaleE,uiscaleC,uiscaleA,uiscaleE,DS_neta,DR_neta,x,e,xi
cff21d26e3adcb5726564d4f460978bf,0.066088314963597,0.103774521411164,0.722167700703723,0.438710200532898,0.000281581973519,0.00028089237855,0.009849374160632,0.011446675882162,0.0095989968393,0.033630519394693,0.014392723255558,0.136932074538618,0.260524866492673,0.194233443944948,0.187704822657397,0.155950513936113,0.123194098534061,0.011713014152976,0.765652186180791,-0.178300570798544,-0.9,-0.95,-0.9,0.677522169332962,2.19591689668595,0.283579729819298,0.5682938248422,0.009174637507111
7042c81e97f6ffba39e076237b90d3d2,0.078076390494871,0.102682379130973,0.721783077176662,0.440454568558931,0.000282152985114,0.000281782676157,0.011033332936308,0.011366201458126,0.009768463662313,0.031628698930098,0.014512946435017,0.136738392063043,0.265836565409041,0.195301716464805,0.183671195075382,0.156200689397752,0.123427019556052,0.011639936306378,0.793231647243406,-0.178042418431425,-0.9,-0.95,-0.9,0.637532834243041,2.17990182251669,0.287069061260671,0.565374112144113,0.009280371780968
b89d58aa8b75c27cff7503a3192fbf57,0.097351279460079,0.10236769016739,0.717138321490494,0.443525416447967,0.000282319972892,0.000282211811775,0.01070835289662,0.011342840441921,0.009796922190068,0.033387190756807,0.014860447677784,0.136090809168852,0.267304402416757,0.195764295883011,0.183673461815109,0.155591571709607,0.123145331899169,0.011649287810176,0.774944329549586,-0.165755279564531,-0.9,-0.95,-0.9,0.648215104965504,2.13527963415253,0.286315250705928,0.568095018157736,0.009312060257457
987ad5830b5a2bfed0a512d75e89018d,0.103384432116988,0.103290583885275,0.717467668859755,0.44465614859499,0.000281161357589,0.00028060414168,0.010021847228781,0.011282747087208,0.009706014997139,0.035615448677214,0.014780463943491,0.136368397352285,0.26713147312086,0.19539990241034,0.183337202249328,0.156546057787258,0.122423883586655,0.011661691310135,0.795970193548612,-0.161218545878408,-0.9,-0.95,-0.9,0.683393174456444,2.1194923532661,0.285924105804414,0.571902421833947,0.0094616280019
ae4ca98642b8664c08f53903ca5e22d7,0.118248652128875,0.103080911444966,0.738745697913693,0.468034370813146,0.000273719039515,0.000279230076478,0.010225463051675,0.010808191952575,0.009495624858793,0.027323624274344,0.016213249173481,0.135341422759927,0.256546898559666,0.188033687196905,0.189699681768892,0.15661418224033,0.125331854949471,0.011788435843205,0.828507482754663,-0.148007007972244,-0.9,-0.95,-0.9,0.702922223834332,2.16741360989398,0.288887053411454,0.579208492042497,0.009569687809268
6dfb9cda944a0f5cb712b2c091839487,0.135389616932999,0.1048173276647,0.737312556912658,0.468439593820646,0.000277968712139,0.000276824950628,0.010012199078729,0.01084869530648,0.009596896396112,0.025015354284504,0.015694256236078,0.132273825727216,0.255210338353923,0.18943890979141,0.191166104770033,0.15812271511415,0.125959151394431,0.011739820704143,0.817834901891788,-0.128457354919351,-0.9,-0.95,-0.9,0.742975219711673,2.17125094810034,0.28671022932753,0.581074932400137,0.009601455579399
1613c1c11aedd6113158c07bf51393d2,0.105198070164117,0.105673311689403,0.738986999227201,0.47523784209229,0.000273500191268,0.000281693983916,0.009165921835347,0.010722681305185,0.009627404639125,0.025806686295965,0.015665672023082,0.132518425233103,0.247669344896822,0.189746799187502,0.191384952767985,0.15928518993617,0.12482797574438,0.011573637539646,0.838049427410345,-0.108188302556136,-0.9,-0.95,-0.9,0.778144159680244,2.21576643420848,0.289306892755628,0.581023118613288,0.009450206327028
99765f310c8b87454e9d2df8cffa6fff,0.07486499849148,0.108615891509922,0.72867730519036,0.469276098397374,0.000274084439807,0.000285413144678,0.009864170867893,0.010788326722011,0.009675236962503,0.030830270947632,0.014944837665651,0.131174322459101,0.255547542051783,0.19227757062274,0.186589426076273,0.162380234785844,0.123333417124347,0.011313586325552,0.866402067709845,-0.121106318313433,-0.9,-0.95,-0.9,0.744443020317715,2.09026444368064,0.292008458360285,0.582695657785982,0.009473126160213
81b70f85ee7d292db652b5af108810ac,0.069192746165301,0.110037489014911,0.732200493651909,0.469814489370584,0.000277539921048,0.00028342295039,0.009066872035235,0.010809393990365,0.009670790546248,0.033270115767163,0.014185550138121,0.131040733709745,0.252322059588133,0.189043409482809,0.185801484248135,0.161446003959281,0.121451586765236,0.011447489944487,0.878300424179631,-0.128862966568367,-0.9,-0.95,-0.9,0.770242380118009,2.05972646849695,0.289886453663558,0.579832478841767,0.009316864094138
e57c51031188db977f8171f041d8c1af,0.085862138186953,0.108189106886275,0.733921116294806,0.462095187169686,0.000279445323746,0.000281774409576,0.010018546211152,0.010807876689918,0.00959425035906,0.031191728487588,0.014739315680927,0.132543237669207,0.250693353941849,0.187899852941744,0.185956655538874,0.166622326350771,0.121936733540612,0.011853450920172,0.849429674177561,-0.103150671089273,-0.9,-0.95,-0.9,0.768071198556583,2.00957394922151,0.288892761147768,0.56745067983307,0.009238547985912
efe42f4a6a7a76fd936f8cd87e656aa1,0.097464497035648,0.10385232969001,0.738564756230918,0.455882890080288,0.000276315802549,0.000284675207083,0.010784885607503,0.010528013760922,0.010031563148275,0.030878551530978,0.015672837493941,0.135892043194733,0.248305679731815,0.195082903051283,0.182102709585102,0.168800219791708,0.124316499669802,0.012069448579931,0.854403547383333,-0.06779102202639,-0.9,-0.95,-0.9,0.695979095902305,2.13233622815459,0.289618117039651,0.582509312473238,0.009537618783395
665070d575245a89051f1a0d8692cc22,0.140009064410906,0.107961110169534,0.7340002091066,0.461970467559993,0.000266944756604,0.000282037432072,0.010410899764208,0.010623855439247,0.009723749250546,0.026649826147547,0.015223150377162,0.136291061957366,0.245382101234793,0.199871300447499,0.185346967644524,0.165589533639839,0.124317922490881,0.012363591566523,0.844459308221173,-0.06438849956654,-0.9,-0.95,-0.9,0.737160281185072,2.22016378024126,0.285795225432516,0.589153140235692,0.009669311384232
