unique_id,CDRscale,CDRscaleE,dr_dx_cost,DR_ts,dr_tx_cost,ds_dx_cost,DS_neta,ds_tx_cost,dst_cost,e,fadult,fchild,felderly,glf_a,glf_b,glf_k,n,nelderly,nt_dst_prob,ntii_emp_tx_p,ntin_emp_tx_p,omega,padult,pchild,pelderly,pt_dst_prob,ptii_emp_tx_p,ptin_emp_tx_p,radult,rchild,relderly,uiscaleA,uiscaleC,uiscaleE,vadult,vchild,velderly,x,xi_init
9fc6862ad0a9ed6c5898589fa98b30bb,0.941037790578642,0.45765710176574,25.9804000233288,0.757714662376325,302.701829853374,21.9734961219772,0.325459789262153,15.3174659712138,37.2542621004961,0.784972879075276,0.713612398856806,0.109528480774959,0.565211998465641,0.40018609159071,0.016798456244171,0.92012870918354,0.192811640597834,0.154298841638421,0.011723711594008,0.006783209508285,0.000467032158282,0.014968090035255,0.170691367032593,0.016670695526033,0.239844848540299,0.040649934189395,0.017025747264735,0.00832273276709,0.016898854700335,0.026018816618976,0.021238769493905,-0.981932319581673,-0.949179330673956,-0.945749978145788,0.000233341675834,0.000115007832544,0.003748849280013,0.351354109868238,0.009482282911173
08a4119a187ec7d1d96d57d020acf3b0,0.935309836727527,0.461225782899774,26.0028935451167,0.753799711355474,302.874428054739,21.9415964088822,0.321838368053547,15.3421873217836,37.2465642573991,0.785041209214943,0.711640332399422,0.109009788066291,0.567251977609678,0.400759853384048,0.020703130505979,0.920126109832432,0.193023249595846,0.154555761603476,0.009433518151753,0.005790855234489,0.002788365486544,0.01500539257852,0.170382920897221,0.016802937004688,0.240794426547907,0.043595030391589,0.020132434268481,0.009783293113112,0.016725577865437,0.026235635638405,0.021265633331073,-0.987175410697792,-0.953114112302829,-0.946098357471007,0.00023281371528,0.000115582907091,0.003886277190084,0.35141800992621,0.009475085544861
4a0fc453afa22bf97a84d9caa766bd20,0.938961360471764,0.455543287492595,26.0153583403875,0.753337824016344,302.588071509499,21.9172372207524,0.322130480182357,15.3454377824884,37.2673736762188,0.786049695315229,0.712109912275823,0.108539960803979,0.567146608112736,0.400906438179724,0.018811275875196,0.919520427629352,0.193308027791186,0.155120486490266,0.009791948790662,0.008823843816296,3.81875182509199E-05,0.015037162313847,0.170424616801282,0.016789431229021,0.23995804861585,0.045551941296086,0.016778967049903,0.011586122389883,0.016505188301326,0.026354505721201,0.021276999725533,-0.987062691505123,-0.949416269383658,-0.948323431205048,0.000232957684758,0.000116266251554,0.003794550542129,0.352039624988566,0.009483540008794
03ac998a1fa45270e3503f2e22c2d46a,0.940372639927854,0.454383875231116,25.9714009144665,0.752742762991693,302.270439341239,21.9357121294077,0.325764675860293,15.3189449206502,37.2308491089883,0.786686138106154,0.712810783327112,0.109084693142914,0.567076901608689,0.401296899590641,0.019837686695159,0.919121263654903,0.193486872682954,0.15472741186882,0.009158852132969,0.004944411661476,0.003966266471428,0.01504505547274,0.170764728196403,0.016750347249369,0.240171870309733,0.044512424210087,0.020771648545749,0.010305444411933,0.016744606753261,0.026428424424623,0.021508832741958,-0.981431362071675,-0.94889642523269,-0.950999116135164,0.000233615708268,0.000116906122434,0.003850636435573,0.35222207289053,0.009491922050518
830a779d0cc8579be4ff323a3bf0f51c,0.93769386759485,0.461586025078169,26.0074872115456,0.754197090675589,302.304124142871,21.9007647434885,0.326649443176574,15.3297706979077,37.1806938682015,0.788061423481273,0.711707709442379,0.109030101864276,0.565532079912259,0.400577071835063,0.022458593761548,0.918946006083395,0.192982710836316,0.154206622707588,0.007303528658115,0.008366973586381,0.004017858605367,0.015019853577262,0.170484788563019,0.016847485580641,0.240612791754551,0.041685328070075,0.020501860088668,0.011543137727305,0.016960530363479,0.026442173861768,0.021327020276879,-0.981769296906572,-0.948808531900537,-0.957204937615583,0.00023290777703,0.000117129018143,0.003725864294236,0.352382115813921,0.009517503237554
e97091b73df55fa58c46bafffc2e78b0,0.935555667167817,0.468450588983323,25.9994591436561,0.751563693400007,302.608972124118,21.9146995155354,0.328353798898868,15.3093555599615,37.1154357903806,0.786764097694325,0.710776073435808,0.109383155042728,0.566402312981768,0.401092361748479,0.023069745969027,0.919868157967925,0.192570561470045,0.154442235676689,0.010587162322365,0.01019712753594,0.004847947362345,0.015052308029032,0.170161356299585,0.016933885756574,0.24102855940374,0.039909606400878,0.019456583422608,0.008836949601769,0.017180125164472,0.026669382653181,0.021449582544101,-0.978484064219911,-0.953620770673577,-0.954033687916687,0.000232150323942,0.000117450545569,0.003571041499067,0.352812264613936,0.009487711536492
82fff78f6d6e0352b8258dc8647cf312,0.931853247010247,0.473513358443941,25.9974969933905,0.750780377503019,302.326111347986,21.9204827251647,0.327817625668831,15.2851472404292,37.0578974630279,0.787945266758668,0.709946633663515,0.109250523746994,0.568186025261415,0.400564294458851,0.022399732213467,0.919958221755922,0.19286876171534,0.154498209331208,0.013138780697249,0.010724144086242,0.004939586039168,0.015051255544577,0.170520855705952,0.017125963665798,0.240268999186553,0.039738356877119,0.018998481814749,0.012822364946827,0.017037096950457,0.02672771676166,0.021394908063171,-0.979561068453219,-0.958190598462131,-0.949442815504199,0.000231931793149,0.000117605818777,0.003681120699536,0.352449861849079,0.00947597601051
16038d5b82cba3e3ce86439ef08030f5,0.932327319108439,0.4675468634926,25.9776554415595,0.753439741711598,302.79982227065,21.9334960716554,0.331638172081671,15.2916404100446,37.0308767043527,0.78791991652103,0.711937376226785,0.109831155522683,0.569940123462065,0.40049313816607,0.024999304948375,0.920356733432505,0.193200019175048,0.15477271157282,0.011888381472789,0.010508232794702,0.001642626514193,0.015097904497745,0.170677661904311,0.017216644348829,0.239562303505935,0.036130839174614,0.022545415575615,0.010554383067414,0.016919852635906,0.026576766620186,0.02141570724113,-0.973483548298613,-0.951862006322038,-0.943058365297037,0.000231914015869,0.000117535114267,0.003710226476865,0.352697698691318,0.009493577507072
3b310d360b927a4efbfc0b644de2845a,0.938034533608154,0.475080429176114,25.998199474751,0.751393619266804,302.306122294197,21.9540972248789,0.335221547086723,15.2745306323036,37.0696829729207,0.789285149360465,0.711492882032434,0.110237484089148,0.569272252669765,0.400285841293074,0.022758701328188,0.920787022125907,0.193102953885915,0.154512445192715,0.014033354968764,0.0129040764682,0.00060376114538,0.015072018245796,0.170420831911331,0.017317578878879,0.239324793939389,0.035709037167952,0.025314122739247,0.008537424419075,0.016973302316599,0.026706527304296,0.021654423593116,-0.974194720294931,-0.952578209115047,-0.950387154080308,0.000232380766978,0.000117111294188,0.003690287499717,0.352642610136102,0.009468441959157
fa8c150eb5b3c99eba5c7edcf9fe49eb,0.933088635162786,0.467209269340928,26.0392873207221,0.755286205358338,302.76591279187,21.9189801133277,0.33150880566705,15.2697579171875,37.0454232939235,0.789497830091434,0.712962576252895,0.110711349174337,0.570758798388077,0.399889439267628,0.021029276184738,0.921050629748963,0.192560897257226,0.154111417028611,0.011524295159616,0.013674849474803,0.002366779839155,0.015042009742935,0.170620789390644,0.017165765444535,0.239032618791632,0.032801607027651,0.026538064419291,0.008213870840147,0.016941140754641,0.026851177522522,0.02155189388862,-0.976431484625791,-0.952633486402124,-0.95712979703351,0.000232906450932,0.000117468414102,0.003745643057182,0.352213604526947,0.009439960931265
