unique_id,CDRscale,CDRscaleE,dr_dx_cost,DR_ts,dr_tx_cost,ds_dx_cost,DS_neta,ds_tx_cost,dst_cost,e,fadult,fchild,felderly,n,nelderly,nt_dst_prob,ntii_emp_tx_p,ntin_emp_tx_p,omega,padult,pchild,pelderly,pt_dst_prob,ptii_emp_tx_p,ptin_emp_tx_p,radult,rchild,relderly,uiscaleA,uiscaleC,uiscaleE,vadult,vchild,velderly,x,xi_init
ce24b5370893a1905d463676c210c6ce,0.93370304784401,0.535212191282511,25.7773494542718,0.72930953013571,304.646123621893,21.3493664101928,0.326419025956653,15.0216037960592,37.132268474808,0.775800462221929,0.721621354952475,0.105358403318239,0.557514811821974,0.202878727126587,0.156648435988021,0.005416262855287,0.030725551122799,0.004626792898402,0.014626372794857,0.1755656609328,0.018707145736689,0.227128318226043,0.022832556696609,0.051658596529159,0.01685086835688,0.018670461826109,0.02924171379787,0.021127816506877,-0.980537455400833,-0.954059078706955,-0.958766830376193,0.000230781136441,0.00012147031093,0.003576289507435,0.352359881658609,0.009397873302722
c5d403d78bbbff250e85f1cba3bb4fcf,0.92336367668078,0.668120192953246,24.7876956081033,0.767589200007264,299.128778824036,21.4808874602571,0.300587003593333,14.9385555237395,36.7572229674868,0.794975873476097,0.728268982871922,0.091065555366597,0.560267306844092,0.208209258981934,0.16496382630968,0.031980884682852,0.01599244891759,0.009690624313429,0.014597071294294,0.181946467916435,0.021981299452853,0.209439139632586,0.048241463307291,0.049162578752729,0.036804967015516,0.021602448078979,0.027923107791236,0.022734464109532,-0.973021779308227,-0.925077523674988,-0.963126112948528,0.000233828517339,0.00011576273044,0.005102489944673,0.35042371319359,0.009032452533702
b00a0e858c34e2da50ded6f4b95ce348,0.922953169582809,0.561509810914779,25.0687459577382,0.75945872027753,303.542224057225,21.4381955740827,0.305490978918038,15.0222559784074,36.4742592926236,0.779384110424871,0.716163847641109,0.098754376632537,0.559378799739427,0.204655006330414,0.159840029192646,0.02538554552244,0.013645812492817,0.012757987068966,0.014352765315141,0.179022499257094,0.020583028742482,0.21992526618604,0.041286076064222,0.048666831187438,0.040465637953486,0.020562193420519,0.02697276716373,0.021423204003118,-0.983190658879616,-0.96762609839071,-0.950031842597809,0.000237621634496,0.000115899637404,0.003938862792335,0.344660390191282,0.009174557083739
9811d583c71e4255ce380689e2d3e591,0.936979289313347,0.563969748796299,25.6422490509639,0.738266433885787,305.319333475021,21.401857964001,0.323988354116678,15.0332620024729,36.9122275054583,0.774419612163881,0.722882133104393,0.100630158286917,0.564926289700291,0.201157972755563,0.155874447083124,0.02376359827118,0.036046713614836,0.012094633114525,0.014936758866122,0.174965064401692,0.020493051073883,0.225857781395208,0.033816113284789,0.037407345122191,0.026463507232722,0.019784485274356,0.028315377255166,0.022913188370626,-0.976726482742689,-0.942750898473761,-0.950886118262402,0.000235156809395,0.000116858620061,0.003286817555039,0.351470151633526,0.009495307982858
98047b46931ace5a0808a3d8492cf7d7,0.9297706551454,0.697357624512985,24.9486404230081,0.75609291264182,298.307614725066,21.7179690589631,0.304622444225475,15.0484461688205,36.012448714163,0.791624115077982,0.716045991842655,0.0893161032178,0.564526753462425,0.207004790086719,0.161531815362652,0.001586719646584,0.024595113057643,0.009302582806908,0.014880012437737,0.183445968311979,0.022199598781436,0.217511434455853,0.056074934302829,0.096660056321415,0.035168201998342,0.019475453307096,0.02888305713051,0.021675379752863,-0.985605975196689,-0.912788670217967,-0.979694320712213,0.0002315643032,0.000119046904604,0.004450140699761,0.35735440876534,0.009077174213949
8c7fd66e7a89f687656389e68b7aca88,0.933446765433053,0.615772199944444,24.6635161702993,0.76303205749346,300.960387730186,21.4011366064335,0.305609506372362,15.0561116106563,36.8931975553097,0.791243991673196,0.72683917815706,0.096704520753029,0.568392755015141,0.204223269503052,0.162066641784297,0.020037372519727,0.01707950692717,0.01474582269881,0.01439036801278,0.179571051393589,0.021935027842081,0.217622754691619,0.033778758006171,0.038369923329446,0.024714915901888,0.020487554954634,0.026737852993338,0.022511110969104,-0.972816030605017,-0.954687182017299,-0.956203365124708,0.00023369039952,0.00012056106485,0.005051223020855,0.347144440916682,0.008896332360279
87bb804899a2a5d4b837b48bddc105be,0.915236599001006,0.710170224913172,25.0916878881625,0.761601555294823,295.456235563581,22.2208881739326,0.313237291573546,15.1524438801953,36.4058985752774,0.793162645507807,0.705229934909401,0.087314664490431,0.575381642358325,0.211986716391705,0.163571696824883,0.017594282852951,0.024199596947059,0.021545588421636,0.01483959560973,0.184684671656555,0.021766317480846,0.212252574041005,0.059245612476021,0.070558045499492,0.029986644178163,0.018968661935617,0.027659521018817,0.022520723270841,-0.978301470155419,-0.897770011583897,-0.946576778580763,0.000229570156412,0.000118166293653,0.004948120705463,0.359835178374255,0.008733878887767
87a5fba53edaf36e746d405d2b7ef31d,0.92655818871211,0.543816311185686,24.9761559851614,0.766045844795649,303.787090644424,21.4587722156821,0.305602809329517,15.1429797114291,36.4563049341261,0.779303286450187,0.723387460453922,0.096134654372608,0.569040440517238,0.204772765393788,0.15968106629143,0.021806006685365,0.022504629181698,0.011134568295442,0.014428856311909,0.177888783397107,0.021422650013954,0.224150048310946,0.034848937749863,0.049727984692435,0.018357841610443,0.020259209210415,0.027284828587445,0.022403932203848,-0.981946734809736,-0.963638398630642,-0.943020801723424,0.000238477640906,0.0001152048334,0.004013917809076,0.343672259007151,0.009265540659592
862614e64e90f4c86c6565f383626aed,0.929447046571762,0.721827299902755,25.0977838435918,0.749250432325993,295.096679539619,22.3462107994029,0.325951381711289,15.2158750931633,36.4676059458468,0.789328769911283,0.70257734984534,0.088715958303216,0.565509721371851,0.213592798194802,0.161058700311952,0.020602774203289,0.036334748655557,0.016009204523638,0.014773026159688,0.184830875423877,0.02184248311808,0.210374490880113,0.05594899627287,0.060727474743034,0.019470200404059,0.019007638867748,0.027185585032506,0.022051127810619,-0.974803951408632,-0.896626898616026,-0.968041237240659,0.0002329670516,0.000119966203141,0.004739086910705,0.358961645108218,0.008747142837775
80a551e6c6c0b018e068056c7538befa,0.948918454362328,0.430092068651495,25.8459757864988,0.7541932634064,303.177527712857,21.7016913255248,0.318247565216384,15.3752284808542,36.878387252483,0.7860304784069,0.717755920024609,0.110064729332601,0.563563713208905,0.190464207846625,0.151937735966896,0.008483026979956,0.013898895295337,0.013111757292413,0.014985690790446,0.174028971510334,0.017332404932144,0.241733917750496,0.011981575180777,0.026456909838598,0.01746840099385,0.017279569233478,0.026705773520666,0.020807963759109,-0.978213888975111,-0.95656010462929,-0.936682901832016,0.000232536034146,0.000117585595665,0.004222129790794,0.352771572283412,0.009463319116017
