Year,AgeGrp,Notifications,Notifications_lo,Notifications_hi
2013,All,61.2655596403087,49.012447712247,73.5186715683704
2013,A0-14,1.97806839802584,1.58245471842067,2.37368207763101
2013,A15-64,66.1248813209225,52.899905056738,79.349857585107
2013,A65+,137.831156985025,110.26492558802,165.39738838203
2014,All,58.9365425272975,47.149234021838,70.723851032757
2014,A0-14,1.69413990781023,1.35531192624818,2.03296788937227
2014,A15-64,63.4486211678618,50.7588969342895,76.1383454014342
2014,A65+,132.270885264923,105.816708211939,158.725062317908
2015,All,57.1526615032613,45.7221292026091,68.5831938039136
2015,A0-14,1.69909443164136,1.35927554531309,2.03891331796963
2015,A15-64,60.9125789830963,48.730063186477,73.0950947797155
2015,A65+,130.282548473831,104.226038779065,156.339058168598
2016,All,55.4679584996047,44.3743667996837,66.5615501995256
2016,A0-14,1.88787694346315,1.51030155477052,2.26545233215577
2016,A15-64,59.196254826145,47.357003860916,71.035505791374
2016,A65+,122.573332755516,98.058666204413,147.087999306619
