Year,A0_14,A15_64,A65_+,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99plus
1981,348443.223,610627.73,48929.1989,18506.015,18092.34,19064.433,20087.068,21129.78,22162.104,23164.882,24118.959,24937.323,25566.891,26011.124,26372.421,26685.329,26594.325,25950.229,24928.92,23895.208,22823.839,21726.152,20660.202,19653.545,18589.403,17387.595,16724.155,16890.907,17549.501,18133.798,18833.873,18937.886,18058.917,16561.645,15198.802,13821.207,12657.086,11896.281,11414.126,10875.788,10323.841,9929.65,9737.285,9683.488,9656.908,9674.99,9657.339,9551.014,9384.607,9246.445,9127.017,8951.914,8695.484,8386.152,8080.194,7768.988,7471.516,7203.776,6958.759,6704.653,6437.251,6218.357,6072.169,5967.875,5855.061,5749.324,5585.841,5328.996,5010.193,4700.155,4389.187,4072.919,3757.722,3445.528,3130.987,2814.073,2522.482,2269.164,2043.965,1825.552,1620.316,1418.555,1213.993,956.4282,788.2506,642.4691,526.1024,432.7371,347.9151,273.2983,210.4539,158.309,115.8704,76.5061,51.6217,40.5787,28.6291,15.7727,8.9456,7.3302,5.5982,3.7503,3.8412
1982,342440.105,628764.05,51049.241,19645.96,19350.56,18261.372,19060.618,19976.999,20968.847,21994.493,23034.877,24070.939,24947.97,25579.084,25990.438,26340.973,26653.982,26562.993,25919.027,24897.904,23864.101,22792.333,21694.666,20629.451,19623.911,18560.785,17360.161,16696.999,16862.598,17519.198,18101.659,18799.716,18902.753,18024.519,16529.051,15167.744,13791.648,12628.696,11868.433,11386.342,10848.034,10296.002,9901.306,9707.91,9652.637,9624.374,9640.571,9620.613,9511.49,9341.917,9200.362,9077.229,8898.585,8639.011,8326.698,8017.403,7702.548,7401.164,7129.197,6879.593,6620.735,6348.613,6123.759,5969.835,5856.714,5735.316,5621.104,5449.635,5185.662,4860.526,4544.574,4228.244,3907.673,3589.466,3275.48,2960.121,2643.489,2353.315,2102.566,1881.184,1667.462,1467.321,1273.694,1040.7871,857.7759,699.1361,572.5057,470.9053,378.6019,297.4038,229.0163,172.2721,126.0904,83.254,56.1748,44.1579,31.1542,17.1639,9.7347,7.9768,6.092,4.0811,4.18
1983,336875.993,647121.535,53126.3062,21188.455,20056.592,19423.275,18419.5,19045.684,19855.431,20795.909,21814.288,22891.616,24008.94,24944.04,25576.33,25954.613,26294.197,26607.123,26516.204,25872.743,24852.402,23819.111,22747.571,21650.564,20586.704,19582.867,18521.376,17322.634,16660.138,16824.489,17478.714,18059.002,18754.635,18856.639,17979.651,16486.857,15127.878,13754.083,12592.976,11833.699,11351.953,10813.989,10262.195,9867.225,9672.912,9616.198,9586.27,9600.575,9578.325,9466.473,9293.836,9148.977,9022.216,8840.14,8577.579,8262.471,7950.023,7631.709,7326.594,7050.566,6796.526,6533.074,6256.398,6025.725,5864.166,5742.296,5612.397,5489.79,5310.447,5039.509,4708.24,4386.566,4065.068,3740.387,3419.359,3103.767,2787.774,2471.609,2183.019,1934.982,1717.542,1508.627,1313.691,1107.4613,912.7262,743.9237,609.1811,501.0722,402.8557,316.4559,243.6874,183.3081,134.1679,88.5874,59.7734,46.9867,33.15,18.2634,10.3583,8.4878,6.4823,4.3426,4.4478
1984,332089.353,665968.247,55153.135,22949.161,21071.725,19821.176,19123.633,18588.342,19042.086,19745.832,20635.573,21647.301,22762.16,23961.292,24954.934,25588.773,25934.257,26263.108,26576.138,26485.234,25841.894,24821.728,23788.335,22716.387,21619.387,20556.247,19553.514,18493.025,17295.452,16633.226,16796.429,17448.671,18027.135,18720.761,18821.793,17945.529,16454.517,15097.057,13724.743,12564.787,11806.045,11324.357,10786.416,10234.532,9839.054,9643.709,9585.524,9553.915,9566.34,9541.788,9427.144,9251.346,9103.1,8972.641,8787.031,8521.33,8203.244,7887.462,7565.506,7256.483,6976.236,6717.616,6449.421,6168.032,5931.411,5762.132,5631.454,5492.989,5361.925,5174.613,4896.56,4558.969,4231.392,3904.54,3575.563,3251.528,2934.144,2617.332,2301.445,2014.266,1768.789,1555.155,1350.918,1152.34,949.7135,774.0705,633.8676,521.3776,419.181,329.2799,253.5626,190.7365,139.6049,92.1773,62.1957,48.8908,34.4934,19.0035,10.778,8.8317,6.745,4.5185,4.628
1985,328597.655,685148.365,57117.3692,24748.091,22317.87,20580.514,19460.781,18883.43,18773.22,19054.912,19653.263,20493.034,21498.983,22652.335,23934.311,24987.352,25623.288,25936.271,26254.671,26568.075,26477.107,25833.335,24812.464,23778.077,22704.795,21606.857,20543.521,19541.027,18480.626,17283.187,16620.661,16782.856,17433.678,18010.815,18703.033,18803.181,17926.884,16436.37,15079.256,13707.24,12547.436,11788.573,11306.528,10768.147,10215.696,9819.369,9622.825,9563.117,9529.8,9540.355,9513.481,9395.945,9216.835,9065.075,8930.804,8741.499,8472.431,8151.091,7831.704,7505.827,7192.63,6907.922,6644.5,6371.329,6084.985,5842.212,5665.066,5525.467,5378.317,5238.683,5043.24,4757.832,4413.629,4079.864,3747.378,3413.82,3086.499,2767.05,2449.145,2133.263,1847.246,1604.119,1394.107,1174.1769,967.7105,788.7391,645.8794,531.2577,427.1245,335.5198,258.3676,194.3509,142.2505,93.9241,63.3743,49.8172,35.147,19.3636,10.9823,8.9991,6.8728,4.6042,4.7157
1986,328675.358,702645.812,59026.8858,26605.184,24306.894,22164.736,20610.087,19585.051,19031.733,18875.121,19040.202,19554.663,20394.842,21451.493,22620.379,23899.961,24950.56,25584.452,25895.694,26212.04,26523.105,26430.74,25787.034,24767.213,23733.762,22661.399,21564.598,20502.585,19501.454,18442.514,17246.837,16584.906,16745.873,17394.375,17969.357,18659.178,18758.114,17882.581,16394.064,15038.582,13668.071,12509.506,11751.357,11269.561,10731.333,10178.925,9781.818,9583.371,9520.92,9484.603,9491.785,9461.345,9340.202,9157.344,9001.472,8862.803,8668.729,8394.467,8067.591,7742.37,7410.247,7090.968,6800.597,6531.616,6252.733,5960.961,5711.028,5524.084,5373.188,5215.554,5066.111,4861.697,4568.576,4218.09,3878.961,3541.823,3207.286,2883.99,2572.253,2262.902,1956.747,1681.608,1450.137,1281.0956,1055.8287,860.5604,704.6921,579.6332,466.0178,366.0717,281.8941,212.0482,155.2036,102.4767,69.1451,54.3535,38.3474,21.1268,11.9823,9.8185,7.4986,5.0234,5.1451
1987,330154.037,720349.629,60838.0592,28514.589,25532.611,23881.286,22025.603,20652.532,19721.471,19191.819,18988.745,19037.419,19468.383,20309.496,21417.467,22602.607,23880.596,24929.413,25561.66,25871.357,26185.848,26494.771,26400.953,25756.909,24737.5,23704.337,22632.22,21535.87,20474.515,19474.117,18415.976,17221.311,16559.56,16719.401,17365.991,17939.18,18627.036,18724.824,17849.507,16362.053,15007.353,13637.489,12479.437,11721.526,11239.678,10701.266,10148.556,9750.42,9549.947,9484.717,9445.38,9449.196,9415.175,9290.352,9103.633,8943.556,8800.407,8601.446,8321.824,7989.211,7657.957,7319.386,6993.829,6697.62,6422.916,6138.152,5840.774,5583.53,5386.68,5224.402,5056.194,4896.857,4683.352,4382.342,4025.358,3680.658,3338.659,3002.937,2683.459,2379.232,2078.235,1781.605,1517.163,1369.3065,1128.5287,919.8151,753.2143,619.5444,498.1058,391.2779,301.3042,226.649,165.8902,109.5328,73.9061,58.0961,40.9879,22.5816,12.8074,10.4946,8.0149,5.3693,5.4994
1988,332706.233,737567.08,62593.0312,30020.259,27106.001,24718.963,23459.633,21890.101,20698.37,19861.125,19355.05,19105.484,19037.766,19385.311,20227.495,21386.965,22588.551,23865.159,24912.366,25543.071,25851.275,26163.963,26470.795,26375.508,25731.022,24711.856,23678.811,22606.765,21510.685,20449.813,19449.985,18392.468,17198.617,16536.938,16695.679,17340.464,17911.954,18597.959,18694.616,17819.37,16332.735,14978.593,13609.152,12451.421,11693.625,11211.645,10672.961,10119.857,9720.628,9518.096,9450.076,9407.712,9408.163,9370.556,9242.033,9051.424,8887.114,8739.461,8535.582,8250.554,7912.149,7574.809,7229.734,6897.847,6595.751,6315.279,6024.588,5721.555,5456.958,5250.171,5076.485,4897.676,4728.419,4505.788,4196.84,3833.301,3482.973,3136.059,2799.094,2483.383,2186.615,1893.922,1606.769,1438.099,1185.2248,966.0256,791.055,650.6696,523.1301,410.9352,316.4414,238.0356,174.2244,115.0356,77.6191,61.0148,43.0471,23.716,13.4508,11.0218,8.4176,5.639,5.7757
1989,335368.556,753818.305,64379.0331,30549.501,28058.496,25916.847,24109.025,23041.988,21758.409,20747.858,20004.307,19521.727,19225.613,19041.46,19305.622,20149.027,21360.214,22578.462,23853.912,24899.694,25528.967,25835.731,26146.671,26451.465,26354.693,25709.65,24690.549,23657.44,22585.277,21489.274,20428.698,19429.264,18372.186,17178.941,16517.217,16674.886,17317.978,17887.868,18572.143,18667.684,17792.357,16306.279,14952.459,13583.198,12425.587,11667.771,11185.575,10646.524,10092.928,9692.535,9487.909,9417.086,9371.688,9368.772,9327.572,9195.324,9000.791,8832.219,8680.035,8471.2,8180.714,7836.458,7492.97,7141.328,6803.051,6495.013,6208.723,5912.051,5603.309,5331.311,5114.547,4929.419,4739.976,4560.767,4328.968,4012.026,3641.865,3285.846,2933.954,2595.688,2283.688,1994.33,1709.891,1490.0256,1228.0207,1000.9067,819.6183,674.1639,542.0192,425.7732,327.8674,246.6305,180.5152,119.1893,80.4217,63.2179,44.6014,24.5724,13.9365,11.4198,8.7215,5.8427,5.9842
1990,337207.968,768970.052,66267.18,29751.121,28080.978,26522.753,25087.714,23787.133,22632.28,21634.425,20804.838,20154.79,19695.55,19352.744,19051.995,19232.803,20077.732,21341.112,22576.474,23851.223,24895.953,25524.021,25829.454,26138.756,26441.62,26343.325,25697.494,24678.091,23644.549,22571.882,21475.563,20414.903,19415.505,18358.486,17165.418,16503.411,16660.064,17301.693,17870.188,18552.977,18647.436,17771.711,16285.658,14931.673,13562.102,12404.193,11646.087,11163.502,10623.889,10069.603,9667.901,9461.105,9387.451,9339,9332.715,9287.903,9151.881,8953.349,8780.452,8623.678,8409.808,8113.756,7763.519,7413.755,7055.416,6710.622,6396.527,6104.31,5801.547,5486.98,5207.477,4980.65,4784.006,4583.85,4394.617,4153.56,3828.503,3451.583,3089.74,2732.739,2393.05,2084.653,1802.605,1526.326,1257.938,1025.291,839.586,690.588,555.224,436.146,335.855,252.639,184.913,122.093,82.381,64.758,45.688,25.171,14.276,11.698,8.934,5.985,6.13
1991,341851.289,779305.655,68026.578,27246.882,29125.019,27833.158,26515.777,25206.757,23939.978,22726.85,21578.782,20642.01,19995.357,19605.29,19285.413,18984.159,19162.653,20003.204,21260.873,22490.24,23758.58,24797.973,25422.649,25726.164,26033.49,26334.405,26235.781,25591.81,24575.77,23545.628,22476.447,21383.866,20327.055,19331.367,18278.23,17089.648,16429.461,16583.828,17220.712,17784.764,18462.472,18554.679,17681.409,16200.728,14851.292,13486.113,12331.579,11574.999,11092.531,10552.994,9998.585,9595.417,9385.418,9307.245,9253.868,9242.176,9191.44,9049.086,8843.888,8663.917,8499.624,8278.546,7975.945,7619.515,7263.31,6898.469,6546.712,6224.957,5924.633,5614.396,5293.488,5006.033,4768.614,4560.415,4350.172,4151.503,3906.062,3584.005,3215.457,2862.612,2515.696,2188.43,1894.78,1629.141,1370.087,1119.685,904.428,734.678,600.446,477.993,373.932,288.609,216.218,155.495,101.622,69.16,54.283,38.215,20.957,12.563,9.589,6.432,6.749
1992,342825.664,791163.68,70014.557,23489.78,24852.603,28605.783,27686.717,26604.895,25416.882,24179.243,22903.568,21601.447,20554.323,19908.715,19586.26,19288.106,18985.255,19162.087,20001.316,21257.843,22485.683,23752.223,24790.056,25413.61,25716.311,26022.779,26322.839,26223.53,25579.083,24562.717,23532.236,22462.658,21369.849,20313.047,19317.453,18264.374,17075.962,16415.199,16567.846,17202.302,17763.964,18439.058,18529.351,17655.367,16174.681,14824.895,13459.153,12303.803,11546.003,11061.904,10520.489,9963.947,9557.856,9343.899,9260.934,9202.449,9185.319,9128.487,8979.298,8766.706,8579.024,8406.633,8177.56,7867.328,7503.427,7139.504,6766.852,6406.873,6076.308,5766.805,5447.987,5119.589,4823.156,4574.308,4353.825,4132.754,3923.949,3673.244,3353.013,2991.486,2646.339,2308.23,1992.174,1712.178,1461.949,1219.145,985.784,787.099,632.655,512.672,402.659,313.204,242.508,180.657,126.703,81.562,56.218,44.027,30.897,16.828,10.27,6.898,7.477
1993,341656.169,803326.187,72146.777,19200.592,22327.8,24515.523,28127.468,27580.945,26733.779,25665.37,24455.12,23114.818,21656.251,20496.892,19851.373,19596.253,19319.443,19014.542,19189.968,20029.117,21286.365,22514.495,23781.111,24818.92,25442.276,25744.61,26050.672,26350.32,26250.176,25604.294,24586.092,23553.74,22482.178,21387.517,20329.156,19332.179,18277.594,17087.588,16425.266,16576.413,17209.377,17769.476,18442.95,18531.457,17655.46,16172.571,14820.43,13452.094,12294.211,11534.064,11047.61,10503.506,9943.999,9534.373,9316.129,9228.234,9164.539,9141.93,9078.9,8922.633,8702.308,8506.614,8325.846,8088.413,7770.067,7398.132,7025.928,6644.889,6276.129,5936.237,5617.068,5289.17,4952.772,4646.894,4386.213,4153.083,3920.823,3701.542,3445.185,3126.311,2771.287,2433.35,2103.572,1798.291,1531.573,1296.428,1069.562,852.946,670.588,531.267,425.398,327.697,252.76,196.63,145.259,98.014,61.564,43.321,33.805,23.602,12.711,7.426,8.299
1994,340423.316,814279.57,74289.046,15446.057,19885.794,23154.872,25382.447,27614.02,27441.914,26831.184,25884.046,24702.72,23299.178,21685.392,20414.813,19770.155,19582.895,19327.829,19021.235,19195.042,20033.109,21289.58,22516.536,23781.716,24818.263,25440.675,25742.28,26047.57,26346.448,26245.585,25599.034,24580.205,23547.209,22474.933,21379.721,20321.059,19323.884,18269.047,17078.861,16415.766,16565.228,17195.939,17753.802,18424.847,18511.458,17634.485,16151.155,14798.264,13428.96,12269.916,11508.321,11020.085,10473.934,9912.12,9499.436,9277.15,9184.415,9115.568,9087.489,9018.316,8855.136,8627.316,8423.816,8234.858,7989.322,7663.216,7283.664,6903.596,6514.596,6137.466,5788.623,5460.138,5123.52,4779.498,4464.509,4192.268,3946.726,3703.518,3473.989,3212.267,2895.135,2547.06,2216.76,1895.733,1601.627,1348.548,1128.818,918.213,718.655,552.895,428.913,337.329,252.099,191.817,150.367,109.572,69.113,41.426,30.329,23.51,16.255,8.566,9.188
1995,339933.909,823612.23,76393.865,13024.183,17977.152,21730.438,24408.85,26137.199,27040.293,27242.943,26869.959,26046.15,24896.325,23432.616,21667.153,20288.142,19645.752,19526.754,19293.988,18986.37,19158.179,19993.333,21246.281,22469.383,23730.363,24763.383,25383.493,25683.709,25987.561,26285.015,26183.654,25537.847,24520.616,23489.234,22418.587,21325.216,20268.566,19273.371,18220.587,17032.822,16370.402,16517.853,17144.934,17699.341,18366.492,18451.017,17574.985,16094.455,14743.771,13376.489,12218.818,11457.438,10968.488,10421.482,9858.588,9443.748,9217.908,9120.535,9046.688,9013.199,8938.035,8768.298,8533.482,8322.622,8125.889,7872.787,7539.633,7153.295,6766.193,6370.084,5985.409,5628.377,5291.294,4946.694,4595.799,4272.389,3989.183,3731.768,3478.145,3238.869,2972.354,2657.657,2317.29,1995.347,1683.774,1401.483,1162.595,958.758,764.873,582.807,434.006,325.632,248.533,175.958,130.46,103.78,73.648,40.064,21.2,17.273,13.164,8.874,10.131
1996,333889.945,836949.25,79142.246,12350.156,14008.844,18252.752,21567.082,24031.216,25724.53,26772.428,27300.309,27157.44,26331.152,25038.894,23522.999,21749.664,20364.177,19718.302,19597.896,19363.003,19052.757,19223.897,20061.178,21318.018,22544.853,23809.727,24845.745,25467.217,25767.56,26071.589,26369.18,26266.662,25617.96,24596.622,23560.973,22485.784,21387.838,20326.837,19327.477,18270.218,17077.529,16411.266,16556.59,17182.504,17735.458,18401.287,18483.004,17601.802,16114.56,14757.212,13382.869,12218.773,11452.24,10958.807,10406.732,9838.403,9417.506,9184.723,9079.653,8997.867,8956.232,8871.9,8691.664,8445.414,8223.058,8014.784,7749.844,7404.578,7006.106,6607.207,6199.722,5804.354,5437.534,5091.637,4739.359,4382.255,4053.391,3765.27,3504.133,3248.405,3008.019,2745.293,2441.101,2115.998,1809.825,1514.81,1250.294,1029.997,845.045,666.986,504.874,377.909,282.642,211.72,148.541,110.734,87.939,62.261,33.7,19.296,14.734,9.94,11.215
1997,330862.318,846606.941,81597.715,13019.651,16318.524,14934.47,18447.157,21305.716,23543.542,25194.033,26382.619,27234.73,27323.596,26498.549,25069.083,23507.621,21734.383,20348.644,19702.184,19580.907,19344.938,19033.452,19203.149,20038.788,21293.864,22518.913,23781.989,24816.344,25436.379,25735.495,26038.33,26334.716,26231.498,25582.814,24561.962,23526.701,22451.803,21354.217,20293.634,19294.601,18237.618,17045.367,16378.25,16520.781,17142.701,17691.7,18353.196,18431.724,17549.308,16062.037,14704.121,13328.888,12163.593,11395.342,10899.635,10344.961,9773.738,9348.657,9109.952,8997.628,8908.238,8858.61,8765.452,8575.484,8318.864,8085.967,7867.042,7591.409,7235.538,6826.68,6417.732,6000.661,5596.34,5221.345,4868.159,4509.759,4148.03,3815.175,3523.417,3259.721,3003.034,2762.616,2504.881,2212.612,1904.303,1615.349,1338.294,1092.822,892.19,727.036,565.674,424.333,319.869,238.194,173.795,120.337,90.425,71.633,50.544,27.157,16.537,11.164,12.359
1998,328638.462,854909.44,83893.601,14537.644,16150.086,17693.688,15823.895,18599.254,20996.717,23003.738,24607.773,25933.996,27107.583,27427.395,26605.454,25042.37,23438.995,21669.874,20287.025,19641.447,19519.576,19283.068,18971.053,19138.924,19971.031,21221.504,22441.994,23700.414,24730.765,25347.96,25645.175,25946.133,26240.644,26136.962,25489.768,24471.714,23439.186,22367.015,21272.275,20214.514,19218.071,18163.761,16974.648,16308.192,16447.615,17064.139,17607.949,18263.624,18338.795,17457.167,15973.238,14617.833,13244.83,12080.981,11312.759,10815.907,10259.897,9687.081,9258.791,9014.721,8895.415,8798.643,8741.155,8639.404,8440.161,8173.779,7930.894,7701.843,7416.168,7050.526,6632.234,6214.191,5788.504,5376.168,4993.869,4634.212,4270.518,3904.997,3568.914,3274.192,3008.54,2751.477,2511.574,2259.401,1979.687,1688.829,1417.704,1159.192,933.273,752.709,607.678,463.337,343.033,261.251,193.32,135.573,91.932,69.962,55.207,38.742,20.569,12.506,13.612
1999,324083.952,865103.34,86219.407,16142.346,16162.691,16573.084,17301.849,16719.862,18762.748,20702.577,22481.048,24039.857,25504.005,26998.491,27548.5,26729.121,25031.961,23385.812,21619.646,20238.78,19593.662,19471.121,19233.924,18921.18,19087.342,19916.47,21163.167,22379.905,23634.502,24661.532,25276.3,25571.813,25871.095,26163.931,26059.719,25413.591,24397.664,23367.192,22297.042,21204.43,20148.794,19154.286,18101.955,16915.198,16248.97,16385.388,16996.939,17535.932,18186.235,18258.11,17376.697,15895.136,14541.356,13169.686,12006.523,11237.833,10739.52,10181.821,9607.049,9175.285,8925.714,8799.378,8695.192,8629.84,8519.466,8310.856,8034.58,7781.593,7542.309,7246.45,6870.84,6442.883,6015.512,5580.969,5160.386,4770.566,4404.233,4035.032,3665.498,3325.983,3028.117,2760.346,2502.743,2263.197,2016.4,1749.009,1475.34,1221.796,981.583,774.989,614.293,489.209,361.724,262.293,203.045,148.756,97.597,63.705,49.629,38.884,27.015,14.022,15.054
2000,316039.567,878511.047,88648.356,17275.634,16174.122,15764.097,15941.484,16602.207,17642.191,18957.361,20443.642,21996.958,23513.234,25117.506,26934.809,27715.514,26897.32,25063.488,23371.885,21605.712,20224.514,19578.776,19455.361,19217.078,18903.082,19067.817,19895.359,21140.375,22355.407,23608.288,24633.723,25247.097,25541.405,25839.517,26131.171,26026.256,25380.109,24364.605,23334.458,22264.534,21172.215,20116.934,19122.693,18070.575,16884.183,16217.066,16350.712,16958.322,17493.411,18139.44,18208.146,17325.471,15843.794,14489.369,13116.732,11952.307,11181.863,10681.256,10120.937,9543.25,9107.296,8851.816,8718.252,8606.491,8533.179,8414.013,8195.705,7909.09,7645.595,7395.696,7089.176,6702.988,6264.667,5827.27,5383.159,4953.639,4555.659,4182.049,3806.733,3432.574,3089.065,2787.562,2517.228,2258.655,2019.063,1777.22,1521.68,1264.712,1028.292,805.942,618.292,477.16,371.775,260.903,182.139,145.285,104.523,59.854,35.635,29.417,22.656,15.354,16.739
2001,308096.403,891587.417,91253.829,17748.97,16864.08,16044.75,15811.498,16077.697,16756.722,17744.775,18938.062,20335.802,21885.707,23449.643,25066.66,26878.826,27656.052,26837.159,25004.428,23313.542,21548.03,20167.471,19522.11,19398.819,19160.793,18847.272,19011.431,19836.803,21078.643,22290.676,23540.558,24563.337,25174.707,25467.541,25764.178,26054.346,25948.806,25303.24,24289.132,23260.251,22191.403,21100.571,20047.309,19055.192,18005.128,16821.204,16153.965,16283.534,16884.646,17413.426,18052.463,18116.615,17233.53,15753.96,14400.692,13028.781,11864.284,11092.378,10589.073,10025.721,9444.671,9003.243,8739.438,8595.45,8473.015,8388.841,8257.455,8025.315,7724.025,7446.251,7182.477,6863.376,6466.555,6019.468,5574.24,5123.186,4690.012,4292.698,3923.061,3553.072,3186.093,2850.398,2556.573,2294.445,2045.421,1815.821,1587.748,1351.263,1116.603,897.914,698.636,538.265,413.426,315.517,219.294,154.454,122.965,88.227,50.238,32.028,24.676,16.754,18.649
2002,297142.655,907565.637,93938.285,17794.148,16079.384,16474.089,15935.464,15878.407,16233.603,16931.739,17869.17,18942.253,20253.329,21801.747,23415.202,25046.947,26856.228,27630.945,26810.339,24976.437,23284.172,21517.134,20135.502,19489.717,19366.398,19128.334,18814.9,18978.687,19802.914,21043.122,22253.661,23502.098,24523.491,25133.618,25425.343,25720.875,26009.918,25903.625,25257.839,24243.868,23214.977,22145.88,21055.181,20002.63,19011.405,17962.091,16779.163,16110.978,16236.637,16832.004,17355.141,17987.99,18047.675,17163.085,15683.787,14329.997,12957.113,11791.101,11016.779,10510.157,9943.079,9357.952,8910.511,8638.07,8483.497,8350.253,8255.13,8111.382,7865.144,7548.83,7256.457,6978.504,6646.447,6238.519,5782.127,5328.53,4869.984,4432.626,4035.484,3669.357,3304.227,2943.962,2615.652,2329.128,2074.868,1835.071,1615.16,1400.553,1182.798,970.119,768.863,592.372,459.035,350.309,259.742,178.024,127.006,100.835,72.067,40.701,26.744,18.196,20.844
2003,284462.888,925223.704,96657.319,17539.361,16077.141,15207.668,16099.045,15840.776,15959.952,16404.518,17122.418,18010.063,18963.865,20189.437,21737.794,23402.276,25050.258,26858.316,27631.234,26808.16,24971.401,23276.2,21506.009,20122.033,19475.231,19351.771,19113.449,18799.813,18963.379,19787.219,21026.934,22237.093,23485.231,24506.177,25115.622,25406.506,25701.204,25989.388,25882.241,25235.643,24220.876,23191.028,22120.699,21029.13,19976.323,18985.078,17935.55,16752.531,16082.784,16204.646,16794.815,17312.786,17940.025,17995.296,17108.387,15628,14272.443,12897.324,11728.724,10951.272,10440.866,9869.539,9279.793,8825.926,8544.592,8379.286,8235.106,8128.941,7972.692,7712.123,7380.487,7073.237,6780.842,6435.517,6016.102,5549.98,5087.592,4621.129,4179.182,3781.849,3418.895,3058.292,2704.413,2383.189,2103.708,1857.086,1626.298,1415.881,1214.549,1015.334,824.451,640.451,486.597,380.187,287.481,204.177,136.898,99.661,78.786,55.965,31.196,19.766,23.326
2004,272570.303,942176.059,99261.116,17205.831,16103.226,15409.107,15082.439,15722.771,15745.261,16040.912,16574.952,17312.613,18150.364,18984.676,20124.572,21672.797,23388.307,25052.475,26859.229,27630.313,26804.803,24965.262,23267.196,21493.926,20107.664,19459.872,19336.275,19097.705,18783.881,18947.218,19770.634,21009.802,22219.526,23467.31,24487.765,25096.499,25386.528,25680.378,25967.689,25859.694,25212.309,24196.79,23166.03,22094.514,21002.121,19949.103,18957.883,17908.186,16725.127,16053.845,16171.9,16756.837,17269.613,17891.207,17942.056,17052.863,15571.451,14214.184,12836.885,11665.745,10885.193,10371.021,9795.462,9201.119,8740.836,8450.609,8274.563,8119.438,8002.22,7833.459,7558.55,7211.584,6889.451,6582.607,6224.011,5793.111,5317.265,4846.095,4371.724,3925.201,3527.693,3167.933,2811.88,2464.41,2150.297,1877.88,1638.918,1417.163,1216.261,1028.231,847.591,678.543,511.832,380.653,301.211,224.553,148.526,95.707,72.272,56.703,39.837,21.677,26.067
2005,262894.115,957033.379,101695.996,16962.726,16161.085,15615.382,15308.161,15221.968,15339.348,15642.845,16115.004,16738.371,17495.491,18282.939,18997.291,20050.938,21598.363,23364.203,25043.853,26848.52,27617.434,26789.844,24948.315,23248.115,21472.53,20084.579,19436.076,19312.396,19073.682,18759.806,18922.843,19745.478,20983.562,22192.328,23439.218,24458.739,25066.498,25355.545,25648.42,25934.733,25825.934,25178.043,24162.211,23130.983,22058.742,20965.999,19913.225,18922.458,17873.046,16690.461,16017.933,16132.126,16711.573,17218.927,17834.602,17881.001,16989.908,15508.111,14149.72,12770.836,11597.66,10814.343,10296.623,9717.079,9118.39,8651.885,8352.883,8166.163,8000.149,7871.919,7690.708,7401.566,7039.406,6702.515,6381.341,6009.617,5567.407,5082.036,4602.278,4120.198,3669.287,3271.776,2915.37,2564.023,2223.121,1916.261,1651.031,1419.84,1207.222,1015.931,841.298,679.327,532.208,382.872,274.447,222.033,161.47,92.759,54.438,44.827,34.574,23.678,29.063
2006,256119.643,969011.832,104077.619,16811.36,16782.71,16105.565,15638.244,15370.881,15293.609,15389.047,15639.817,16073.62,16695.617,17473.402,18266.159,18978.159,20028.856,21572.597,23334.41,25010.078,26810.569,27576.762,26748.718,24908.235,23208.934,21434.348,20047.347,19399.479,19276.179,19037.974,18724.728,18887.745,19709.386,20945.812,22152.947,23398.157,24415.895,25021.829,25309.058,25600.04,25884.321,25774.018,25125.45,24109.455,23077.769,22004.698,20911.461,19858.726,18868.067,17818.529,16636.065,15961.091,16068.972,16639.69,17138.399,17744.712,17783.835,16889.101,15405.849,14044.967,12662.934,11486.169,10698.521,10175.558,9590.402,8986.115,8510.61,8197.718,7993.895,7811.406,7667.372,7469.479,7162.654,6783.019,6429.835,6092.929,5711.593,5268.626,4788.939,4315.859,3842.179,3401.805,3016.506,2673.793,2337.723,2013.466,1723.565,1475.028,1260.38,1061.683,889.071,735.892,590.246,453.887,323.409,233.815,188.746,136.886,78.235,49.255,38.045,26.104,32.294
2007,250650.732,979759.361,106390.413,16695.383,16312.955,16610.605,16057.633,15668.472,15440.839,15372.452,15445.995,15644.156,16039.808,16660.729,17459.544,18257.984,18967.968,20016.209,21556.994,23315.61,24988.086,26785.248,27549.081,26720.193,24879.889,23180.687,21406.264,20019.558,19372.02,19249.042,19011.235,18698.472,18861.546,19682.58,20917.93,22124.001,23368.119,24384.553,24988.948,25274.493,25563.72,25846.102,25734.244,25084.693,24068.057,23035.426,21961.021,20866.776,19813.582,18822.564,17772.406,16589.508,15911.77,16013.389,16575.648,17065.947,17663.184,17695.049,16796.252,15310.847,13946.834,12561,11380.091,10587.742,10059.29,9468.246,8858.076,8373.348,8046.42,7825.397,7626.348,7466.442,7251.773,6927.123,6529.835,6160.191,5807.395,5416.267,4972.334,4498.105,4031.481,3565.978,3135.931,2762.664,2433.483,2112.53,1804.764,1531.687,1299.724,1101.518,916.648,762.634,630.835,501.446,375.781,264.1,193.295,155.548,112.366,63.748,41.956,28.84,35.826
